# Recency score = sum of gaps for all 6 numbers in a draw (sorted by count descending)
# Low score = all numbers appeared recently, high score = numbers haven't appeared in a while
recency_score	count	probability
40	79	0.030268199233716476
48	71	0.027203065134099615
42	69	0.026436781609195402
39	67	0.02567049808429119
43	61	0.023371647509578545
34	61	0.023371647509578545
36	61	0.023371647509578545
41	61	0.023371647509578545
46	60	0.022988505747126436
45	60	0.022988505747126436
44	59	0.022605363984674328
47	59	0.022605363984674328
38	58	0.022222222222222223
33	58	0.022222222222222223
37	56	0.021455938697318006
54	53	0.020306513409961684
50	51	0.01954022988505747
52	50	0.019157088122605363
53	49	0.018773946360153258
30	48	0.01839080459770115
31	48	0.01839080459770115
35	47	0.01800766283524904
56	46	0.017624521072796936
28	45	0.017241379310344827
51	45	0.017241379310344827
32	45	0.017241379310344827
27	44	0.01685823754789272
59	41	0.015708812260536397
49	41	0.015708812260536397
29	41	0.015708812260536397
57	39	0.014942528735632184
62	38	0.014559386973180077
64	37	0.014176245210727969
55	36	0.013793103448275862
58	35	0.013409961685823755
61	35	0.013409961685823755
67	35	0.013409961685823755
60	33	0.01264367816091954
26	31	0.011877394636015325
66	31	0.011877394636015325
68	28	0.010727969348659003
25	27	0.010344827586206896
69	27	0.010344827586206896
72	26	0.00996168582375479
65	26	0.00996168582375479
73	23	0.008812260536398468
63	23	0.008812260536398468
77	22	0.00842911877394636
23	21	0.008045977011494253
82	21	0.008045977011494253
24	20	0.007662835249042145
70	20	0.007662835249042145
74	20	0.007662835249042145
71	19	0.0072796934865900385
22	19	0.0072796934865900385
21	19	0.0072796934865900385
79	17	0.006513409961685823
76	15	0.005747126436781609
81	15	0.005747126436781609
78	15	0.005747126436781609
75	14	0.0053639846743295016
20	14	0.0053639846743295016
19	12	0.004597701149425287
88	11	0.00421455938697318
89	11	0.00421455938697318
83	9	0.0034482758620689655
80	9	0.0034482758620689655
86	7	0.0026819923371647508
92	7	0.0026819923371647508
16	7	0.0026819923371647508
96	6	0.0022988505747126436
17	5	0.0019157088122605363
84	5	0.0019157088122605363
93	5	0.0019157088122605363
15	5	0.0019157088122605363
87	5	0.0019157088122605363
18	5	0.0019157088122605363
14	4	0.0015325670498084292
85	4	0.0015325670498084292
91	4	0.0015325670498084292
94	3	0.0011494252873563218
97	3	0.0011494252873563218
90	3	0.0011494252873563218
101	3	0.0011494252873563218
100	3	0.0011494252873563218
10	3	0.0011494252873563218
98	3	0.0011494252873563218
112	2	0.0007662835249042146
116	2	0.0007662835249042146
105	2	0.0007662835249042146
12	2	0.0007662835249042146
103	2	0.0007662835249042146
129	2	0.0007662835249042146
13	2	0.0007662835249042146
102	2	0.0007662835249042146
106	2	0.0007662835249042146
99	2	0.0007662835249042146
110	2	0.0007662835249042146
114	2	0.0007662835249042146
11	1	0.0003831417624521073
121	1	0.0003831417624521073
113	1	0.0003831417624521073
126	1	0.0003831417624521073
123	1	0.0003831417624521073
111	1	0.0003831417624521073
128	1	0.0003831417624521073
95	1	0.0003831417624521073
104	1	0.0003831417624521073
