# How often each sum value occurred (sorted by count descending)
# Combinations with sums near the peak (~150) are historically most common
sum	count	probability
152	41	0.01555977229601518
150	40	0.015180265654648957
154	39	0.014800759013282733
155	38	0.014421252371916509
147	38	0.014421252371916509
142	37	0.014041745730550285
140	36	0.01366223908918406
141	36	0.01366223908918406
149	35	0.013282732447817837
136	35	0.013282732447817837
159	35	0.013282732447817837
133	34	0.012903225806451613
123	34	0.012903225806451613
139	34	0.012903225806451613
156	33	0.012523719165085389
165	33	0.012523719165085389
127	32	0.012144212523719165
162	32	0.012144212523719165
144	32	0.012144212523719165
170	32	0.012144212523719165
172	32	0.012144212523719165
130	32	0.012144212523719165
128	32	0.012144212523719165
177	32	0.012144212523719165
148	31	0.011764705882352941
160	31	0.011764705882352941
145	30	0.011385199240986717
157	30	0.011385199240986717
131	30	0.011385199240986717
143	30	0.011385199240986717
138	29	0.011005692599620493
163	29	0.011005692599620493
134	29	0.011005692599620493
167	28	0.01062618595825427
137	28	0.01062618595825427
176	27	0.010246679316888045
151	27	0.010246679316888045
161	26	0.009867172675521821
158	26	0.009867172675521821
125	26	0.009867172675521821
179	25	0.009487666034155597
171	25	0.009487666034155597
132	24	0.009108159392789373
173	24	0.009108159392789373
169	24	0.009108159392789373
174	24	0.009108159392789373
126	24	0.009108159392789373
164	23	0.00872865275142315
153	23	0.00872865275142315
146	23	0.00872865275142315
180	22	0.008349146110056925
181	22	0.008349146110056925
166	22	0.008349146110056925
112	22	0.008349146110056925
115	21	0.007969639468690701
122	21	0.007969639468690701
175	20	0.007590132827324478
118	20	0.007590132827324478
111	19	0.007210626185958254
120	19	0.007210626185958254
129	19	0.007210626185958254
198	19	0.007210626185958254
168	19	0.007210626185958254
113	18	0.00683111954459203
184	18	0.00683111954459203
188	18	0.00683111954459203
182	18	0.00683111954459203
117	18	0.00683111954459203
121	17	0.0064516129032258064
124	16	0.0060721062618595825
109	16	0.0060721062618595825
186	16	0.0060721062618595825
135	16	0.0060721062618595825
110	16	0.0060721062618595825
185	16	0.0060721062618595825
114	15	0.0056925996204933585
195	15	0.0056925996204933585
189	14	0.005313092979127135
99	14	0.005313092979127135
119	14	0.005313092979127135
187	14	0.005313092979127135
106	14	0.005313092979127135
102	14	0.005313092979127135
105	13	0.004933586337760911
92	13	0.004933586337760911
116	13	0.004933586337760911
183	13	0.004933586337760911
104	13	0.004933586337760911
192	13	0.004933586337760911
196	13	0.004933586337760911
100	13	0.004933586337760911
199	12	0.004554079696394687
194	12	0.004554079696394687
103	12	0.004554079696394687
197	11	0.004174573055028463
108	11	0.004174573055028463
96	11	0.004174573055028463
191	10	0.003795066413662239
90	10	0.003795066413662239
88	10	0.003795066413662239
98	10	0.003795066413662239
203	10	0.003795066413662239
209	9	0.003415559772296015
101	9	0.003415559772296015
202	9	0.003415559772296015
107	9	0.003415559772296015
200	9	0.003415559772296015
91	9	0.003415559772296015
95	9	0.003415559772296015
89	9	0.003415559772296015
190	8	0.0030360531309297912
206	8	0.0030360531309297912
178	8	0.0030360531309297912
204	8	0.0030360531309297912
97	8	0.0030360531309297912
193	7	0.0026565464895635673
94	7	0.0026565464895635673
87	7	0.0026565464895635673
212	6	0.0022770398481973433
213	6	0.0022770398481973433
201	6	0.0022770398481973433
210	6	0.0022770398481973433
222	6	0.0022770398481973433
205	6	0.0022770398481973433
219	5	0.0018975332068311196
214	5	0.0018975332068311196
93	5	0.0018975332068311196
85	5	0.0018975332068311196
217	5	0.0018975332068311196
211	5	0.0018975332068311196
208	5	0.0018975332068311196
77	5	0.0018975332068311196
83	5	0.0018975332068311196
207	4	0.0015180265654648956
80	4	0.0015180265654648956
78	4	0.0015180265654648956
216	4	0.0015180265654648956
226	4	0.0015180265654648956
82	4	0.0015180265654648956
221	4	0.0015180265654648956
215	3	0.0011385199240986717
75	3	0.0011385199240986717
76	3	0.0011385199240986717
79	3	0.0011385199240986717
234	3	0.0011385199240986717
72	2	0.0007590132827324478
66	2	0.0007590132827324478
232	2	0.0007590132827324478
241	2	0.0007590132827324478
63	2	0.0007590132827324478
228	2	0.0007590132827324478
224	2	0.0007590132827324478
71	2	0.0007590132827324478
233	2	0.0007590132827324478
235	2	0.0007590132827324478
225	2	0.0007590132827324478
81	2	0.0007590132827324478
68	1	0.0003795066413662239
239	1	0.0003795066413662239
54	1	0.0003795066413662239
220	1	0.0003795066413662239
84	1	0.0003795066413662239
86	1	0.0003795066413662239
250	1	0.0003795066413662239
230	1	0.0003795066413662239
62	1	0.0003795066413662239
49	1	0.0003795066413662239
236	1	0.0003795066413662239
227	1	0.0003795066413662239
73	1	0.0003795066413662239
255	1	0.0003795066413662239
264	1	0.0003795066413662239
58	1	0.0003795066413662239
64	1	0.0003795066413662239
223	1	0.0003795066413662239
56	1	0.0003795066413662239
