# Per-number, per-year: which draws within the year the number appeared
# draw_in_year is 0-indexed within each year
number	year	draw_in_year
1	2000	0	13	15	23	33	34	39	40	46
1	2001	5	10	18	30	37	39	48	54	69	70	76	91	97	98	100
1	2002	7	12	13	24	33	34	41	42	55	64	79	83	84	89
1	2003	26	27	39	52	61	63	82	84	98
1	2004	9	16	18	21	26	31	32	66	68	70	73	74	77	100
1	2005	1	13	16	25	30	39	44	52	56	62	66	68	69	83	92
1	2006	2	10	11	20	38	43	44	61	63	67	74	82	83	85	89	91	103
1	2007	13	23	31	41	51	64	65	70	72	73	89	91	97
1	2008	11	12	14	15	26	52	61	65	83	85	100	102
1	2009	3	7	16	26	35	54	56	88	90	97
1	2010	37	49	52	73	76	83	87	91	94
1	2011	12	26	38	41	49	55	65	79	93	96
1	2012	3	6	7	19	25	40	44	46	47	63	64	66	74	77	92	98
1	2013	24	39	69	70	95
1	2014	22	36	50	66	75	78	81	84	89	93	97
1	2015	3	6	18	32	46	70	73	77	85	90	98	100
1	2016	0	14	17	24	25	26	28	31	33	54	56	57	68	72	75	79	87	92	95	103
1	2017	6	14	15	17	23	26	31	38	39	62	84	85	89
1	2018	21	24	25	35	43	52	54	57	65	73	80	99
1	2019	18	28	32	35	41	45	51	58	60	63	84	85	91	94
1	2020	1	11	23	34	41	49	60	65	67	69	73	83	85	89	91	94	97
1	2021	1	8	15	16	22	29	39	41	47	48
1	2022	20	21	22	40	41	42	45	53	59	62	65	69	72	78	83	84	91	93	95	100
1	2023	4	17	32	37	40	43	77	84	85	87	88	101
1	2024	3	5	10	11	16	19	23	39	48	53	61	83	99
1	2025	4	10	43	53	54	60	63	95
1	2026	2	6	16	17
2	2000	0	11	27	29	39	41	56
2	2001	7	12	25	29	31	34	38	41	45	48	52	59	63	67	71	81	89	90	91	95	102	103
2	2002	5	14	21	55
2	2003	2	6	45	47	53	54	58	61	63	67	101
2	2004	9	26	47	54	58	67	75	96
2	2005	0	2	6	20	24	37	40	43	58	66	71	81	86	91	96	98
2	2006	16	29	40	64	66	71	90	91	94	96
2	2007	0	22	25	47	51	68	71	78	87	90	97	103
2	2008	0	20	28	32	40	41	49	55	58	72	73	81	88	94
2	2009	6	9	10	15	26	28	29	30	34	35	51	55	56	60	87	99	101
2	2010	1	2	3	14	28	51	54	65	75	76	79	97	102
2	2011	0	3	12	66	70	79	82	98	104
2	2012	11	24	27	28	42	50	58	63	88	89	90	93	95
2	2013	8	9	17	18	19	24	38	39	42	43	50	58	67	68	100
2	2014	6	35	38	40	41	51	65
2	2015	16	28	35	39	42	45	66	69	71	72	77
2	2016	6	11	29	35	40	45	48	50	65	73	84	90	92
2	2017	6	9	27	38	47	51	53	65	67	91	98
2	2018	30	33	38	53	60	79	83	102
2	2019	11	26	33	42	44	46	52	61	65	69	80	85	92	97
2	2020	2	4	12	13	16	21	25	37	46	49	52	59	65	81	84	86	93	94	97	99
2	2021	7	10	18	26	31	34
2	2022	1	2	8	12	14	27	29	34	37	43	50	57	72	73	74	89	95	101
2	2023	24	27	38	47	52	54	57	71	76	96	99
2	2024	15	24	26	39	54	60	65	68	73	86	89	100
2	2025	1	13	20	30	46	71	73	79	83	89	94
2	2026	14	22
3	2000	8	28	40
3	2001	2	5	9	27	33	66	83	87	88	90	96
3	2002	3	9	30	43	57	67	76	91	96	99
3	2003	4	27	31	41	44	61	64	74	75
3	2004	18	22	23	28	31	38	39	42	46	59	60	64	70	71	95	98
3	2005	3	20	25	35	81	82	100
3	2006	1	19	20	22	23	24	27	31	43	57	70	74	75	96	101
3	2007	8	20	22	24	26	31	46	48	50	55	75	79	81	85	89	99	100
3	2008	3	27	33	42	48	70	73	76	88	91	103
3	2009	1	7	14	24	25	28	43	44	50	54	57	64	75	90
3	2010	0	15	17	28	33	54	63	70	79	81	99
3	2011	6	13	30	39	50	56	76	87	94	100
3	2012	0	8	13	20	21	32	48	52	63	69	86	89	95	102
3	2013	0	4	6	20	24	33	37	41	45	48	53	55	57	60	63	64	68	77	79
3	2014	8	21	24	31	33	46	54	56	63	64	66	78	101
3	2015	14	17	22	30	32	34	37	42	50	64	66	67	69	94	95	97	98
3	2016	1	24	69	72	73	74	101	103
