Date	1	2	3	4	5	6	SZ
1968-01-06	11	14	15	19	34	49	-1
1968-01-13	14	18	29	30	39	43	-1
1968-01-20	2	14	16	24	30	47	-1
1968-01-27	5	8	19	27	28	40	-1
1968-02-03	4	8	10	25	36	39	-1
1968-02-10	6	11	23	34	44	48	-1
1968-02-17	6	25	37	38	39	42	-1
1968-02-24	7	12	17	24	30	38	-1
1968-03-02	1	7	10	21	23	30	-1
1968-03-09	2	21	22	31	40	44	-1
1968-03-16	11	13	22	26	29	43	-1
1968-03-23	5	11	15	18	28	41	-1
1968-03-30	7	17	23	40	46	49	-1
1968-04-06	16	32	35	39	47	48	-1
1968-04-13	2	15	16	29	42	46	-1
1968-04-20	2	13	31	32	38	47	-1
1968-04-27	11	12	26	43	45	46	-1
1968-05-04	7	9	10	15	32	33	-1
1968-05-11	8	14	15	21	27	39	-1
1968-05-18	1	18	26	32	39	41	-1
1968-05-25	9	21	29	31	37	43	-1
1968-06-01	21	34	40	43	47	48	-1
1968-06-08	12	16	19	24	25	39	-1
1968-06-15	12	20	33	36	41	46	-1
1968-06-22	11	18	20	31	39	43	-1
1968-06-29	25	28	41	43	46	47	-1
1968-07-06	8	21	24	46	48	49	-1
1968-07-13	8	11	17	19	31	41	-1
1968-07-20	24	26	27	43	45	46	-1
1968-07-27	2	9	11	29	32	35	-1
1968-08-03	6	16	22	26	28	47	-1
1968-08-10	3	14	28	32	40	49	-1
1968-08-17	1	14	31	40	42	46	-1
1968-08-24	9	12	25	26	28	45	-1
1968-08-31	3	10	17	32	39	42	-1
1968-09-07	6	8	33	35	36	40	-1
1968-09-14	17	21	34	38	45	47	-1
1968-09-21	5	11	14	26	28	29	-1
1968-09-28	16	21	22	37	42	49	-1
1968-10-05	3	13	19	20	24	35	-1
1968-10-12	27	28	30	39	44	47	-1
1968-10-19	10	12	17	29	39	40	-1
1968-10-26	8	10	21	30	40	43	-1
1968-11-02	4	8	9	16	22	25	-1
1968-11-09	10	14	18	35	40	45	-1
1968-11-16	2	17	19	23	28	41	-1
1968-11-23	1	8	12	27	30	41	-1
1968-11-30	28	31	36	39	44	48	-1
1968-12-07	4	10	32	33	36	41	-1
1968-12-14	4	5	30	39	40	48	-1
1968-12-21	2	3	8	34	35	38	-1
1968-12-28	2	16	17	18	26	37	-1
