Date	1	2	3	4	5	6	SZ
1980-01-05	5	11	16	18	19	35	-1
1980-01-12	19	23	28	30	31	49	-1
1980-01-19	1	3	18	30	31	39	-1
1980-01-26	2	18	25	27	45	49	-1
1980-02-02	13	21	26	27	44	47	-1
1980-02-09	8	16	17	29	36	37	-1
1980-02-16	1	5	30	33	35	37	-1
1980-02-23	1	13	21	26	43	49	-1
1980-03-01	16	21	28	39	40	48	-1
1980-03-08	14	15	35	40	43	46	-1
1980-03-15	1	5	9	33	41	43	-1
1980-03-22	11	14	19	27	30	33	-1
1980-03-29	16	19	27	40	42	43	-1
1980-04-05	14	17	32	34	36	41	-1
1980-04-12	3	13	15	19	20	21	-1
1980-04-19	3	10	11	24	25	41	-1
1980-04-26	5	11	13	39	42	49	-1
1980-05-03	9	10	18	19	27	47	-1
1980-05-10	14	17	21	26	43	46	-1
1980-05-17	2	16	21	26	33	36	-1
1980-05-24	1	5	11	14	33	38	-1
1980-05-31	2	3	17	25	33	48	-1
1980-06-07	7	10	28	42	43	45	-1
1980-06-14	9	28	41	42	45	47	-1
1980-06-21	11	20	25	29	41	47	-1
1980-06-28	3	5	10	13	24	44	-1
1980-07-05	13	15	16	25	26	32	-1
1980-07-12	1	4	11	15	25	31	-1
1980-07-19	15	21	28	32	40	43	-1
1980-07-26	11	20	29	38	44	49	-1
1980-08-02	3	8	34	39	41	47	-1
1980-08-09	19	27	29	32	34	46	-1
1980-08-16	8	21	22	23	42	43	-1
1980-08-23	4	16	17	28	38	42	-1
1980-08-30	6	11	14	25	28	35	-1
1980-09-06	12	23	25	36	42	47	-1
1980-09-13	11	12	19	34	37	41	-1
1980-09-20	2	6	12	23	32	43	-1
1980-09-27	13	21	22	33	45	48	-1
1980-10-04	10	12	29	30	37	46	-1
1980-10-11	18	22	28	31	35	49	-1
1980-10-18	4	8	17	31	37	48	-1
1980-10-25	5	7	8	21	23	40	-1
1980-11-01	19	21	22	26	27	32	-1
1980-11-08	12	13	15	16	30	36	-1
1980-11-15	1	9	16	21	25	44	-1
1980-11-22	5	21	26	30	31	45	-1
1980-11-29	2	10	25	30	38	41	-1
1980-12-06	12	14	36	38	42	49	-1
1980-12-13	4	8	18	33	47	49	-1
1980-12-20	3	6	8	32	33	40	-1
1980-12-27	4	14	16	21	27	43	-1
