Date	1	2	3	4	5	6	SZ
1970-01-03	2	17	24	40	42	43	-1
1970-01-10	13	21	22	25	40	43	-1
1970-01-17	15	17	21	35	44	45	-1
1970-01-24	2	5	16	24	45	48	-1
1970-01-31	6	11	35	36	38	44	-1
1970-02-07	3	19	24	38	41	44	-1
1970-02-14	6	12	19	23	33	46	-1
1970-02-21	3	6	14	29	31	49	-1
1970-02-28	7	16	32	38	46	48	-1
1970-03-07	14	23	24	25	36	38	-1
1970-03-14	3	6	7	10	25	28	-1
1970-03-21	5	21	22	28	38	44	-1
1970-03-28	2	11	14	18	34	46	-1
1970-04-04	5	17	28	29	38	39	-1
1970-04-11	6	8	24	29	32	49	-1
1970-04-18	4	7	12	17	35	36	-1
1970-04-25	5	11	12	15	25	48	-1
1970-05-02	12	14	18	24	44	48	-1
1970-05-09	3	5	14	36	39	43	-1
1970-05-16	3	5	6	32	38	39	-1
1970-05-23	10	14	26	42	46	48	-1
1970-05-30	19	24	33	39	44	46	-1
1970-06-06	2	18	30	31	46	47	-1
1970-06-13	1	2	9	19	27	49	-1
1970-06-20	15	21	23	38	44	49	-1
1970-06-27	4	10	13	19	29	30	-1
1970-07-04	1	11	14	21	45	49	-1
1970-07-11	9	30	35	41	44	48	-1
1970-07-18	20	22	25	32	44	49	-1
1970-07-25	2	16	22	24	37	40	-1
1970-08-01	5	14	18	21	36	41	-1
1970-08-08	3	16	17	18	27	49	-1
1970-08-15	7	9	12	16	17	48	-1
1970-08-22	1	17	32	43	44	49	-1
1970-08-29	11	13	17	20	26	49	-1
1970-09-05	7	10	24	30	45	48	-1
1970-09-12	5	15	24	29	40	46	-1
1970-09-19	4	27	29	34	41	46	-1
1970-09-26	4	15	17	20	46	47	-1
1970-10-03	3	20	22	35	47	49	-1
1970-10-10	8	17	20	36	37	40	-1
1970-10-17	2	7	34	39	43	44	-1
1970-10-24	1	8	26	37	40	47	-1
1970-10-31	2	11	18	19	21	38	-1
1970-11-07	15	24	32	35	36	40	-1
1970-11-14	1	2	21	37	40	42	-1
1970-11-21	1	3	6	27	40	43	-1
1970-11-28	12	14	16	28	42	49	-1
1970-12-05	14	16	23	33	34	41	-1
1970-12-12	7	10	14	27	34	42	-1
1970-12-19	1	6	21	30	31	45	-1
1970-12-26	2	7	8	17	20	26	-1
