Date	1	2	3	4	5	6	SZ
1989-01-07	2	6	13	26	32	45	-1
1989-01-14	6	7	12	23	35	36	-1
1989-01-21	12	13	16	17	26	40	-1
1989-01-28	1	5	9	17	37	49	-1
1989-02-04	11	19	25	27	37	43	-1
1989-02-11	14	36	40	41	43	44	-1
1989-02-18	1	16	29	37	38	45	-1
1989-02-25	9	12	16	21	41	42	-1
1989-03-04	14	17	18	33	35	41	-1
1989-03-11	19	20	42	43	44	49	-1
1989-03-18	5	6	7	10	22	38	-1
1989-03-25	19	37	38	39	44	48	-1
1989-04-01	10	18	28	32	35	38	-1
1989-04-08	6	12	24	31	43	48	-1
1989-04-15	2	3	7	33	41	42	-1
1989-04-22	4	9	16	22	31	34	-1
1989-04-29	5	7	19	22	42	48	-1
1989-05-06	4	11	12	16	25	43	-1
1989-05-13	5	17	18	24	26	41	-1
1989-05-20	5	6	9	35	36	47	-1
1989-05-27	4	8	17	21	25	29	-1
1989-06-03	7	17	19	22	23	27	-1
1989-06-10	6	8	10	16	21	34	-1
1989-06-17	4	8	12	32	40	41	-1
1989-06-24	4	14	16	38	42	46	-1
1989-07-01	4	16	19	21	24	44	-1
1989-07-08	2	3	4	7	25	36	-1
1989-07-15	5	15	17	24	38	49	-1
1989-07-22	12	13	26	28	31	43	-1
1989-07-29	2	3	12	15	30	32	-1
1989-08-05	9	11	20	38	42	47	-1
1989-08-12	8	11	16	17	37	47	-1
1989-08-19	11	13	14	18	27	29	-1
1989-08-26	1	13	20	22	40	46	-1
1989-09-02	2	19	21	25	26	39	-1
1989-09-09	13	26	39	42	46	47	-1
1989-09-16	9	21	23	38	43	47	-1
1989-09-23	6	7	12	32	39	45	-1
1989-09-30	4	10	17	28	29	35	-1
1989-10-07	2	4	8	23	40	49	-1
1989-10-14	3	5	9	27	35	37	-1
1989-10-21	4	8	13	20	21	36	-1
1989-10-28	3	21	24	25	32	34	-1
1989-11-04	9	27	32	37	44	47	-1
1989-11-11	4	20	26	29	32	48	-1
1989-11-18	2	3	27	32	33	36	-1
1989-11-25	5	7	8	21	42	46	-1
1989-12-02	19	23	27	46	47	48	-1
1989-12-09	2	15	24	33	37	46	-1
1989-12-16	3	18	26	28	31	33	-1
1989-12-23	7	9	23	28	38	39	-1
1989-12-30	2	15	16	44	46	49	-1
