Date	1	2	3	4	5	6	SZ
1999-01-02	4	12	19	27	41	45	0
1999-01-09	4	6	11	17	20	48	2
1999-01-16	18	26	30	32	40	46	0
1999-01-23	10	15	25	27	32	46	7
1999-01-30	4	5	18	20	22	41	9
1999-02-06	13	29	37	38	45	48	4
1999-02-13	3	29	35	38	43	49	5
1999-02-20	1	9	13	23	46	48	0
1999-02-27	12	15	20	22	26	32	6
1999-03-06	3	18	27	38	44	49	7
1999-03-13	1	11	19	20	24	34	6
1999-03-20	12	15	25	29	30	44	8
1999-03-27	1	8	18	29	32	38	4
1999-04-03	2	11	20	29	35	46	6
1999-04-10	2	3	4	5	6	26	4
1999-04-17	6	7	36	39	42	46	3
1999-04-24	4	18	25	29	34	36	0
1999-05-01	9	12	13	24	26	48	0
1999-05-08	3	16	17	23	39	47	8
1999-05-15	11	28	40	42	46	49	3
1999-05-22	14	18	33	35	39	41	1
1999-05-29	1	11	12	13	42	43	2
1999-06-05	5	19	21	31	43	48	9
1999-06-12	12	13	24	25	41	42	9
1999-06-19	12	30	31	34	35	49	6
1999-06-26	1	14	16	18	48	49	1
1999-07-03	6	15	23	24	25	32	4
1999-07-10	3	5	15	30	38	44	1
1999-07-17	3	11	22	36	43	44	8
1999-07-24	27	28	31	34	35	49	7
1999-07-31	3	16	21	29	33	44	5
1999-08-07	9	20	21	27	33	42	1
1999-08-14	19	22	33	40	42	49	2
1999-08-21	4	9	20	23	24	41	2
1999-08-28	1	14	21	28	43	47	3
1999-09-04	17	19	24	30	34	35	0
1999-09-11	1	14	19	34	35	36	2
1999-09-18	21	24	28	35	44	45	5
1999-09-25	12	18	22	25	29	42	6
1999-10-02	10	19	27	35	42	45	4
1999-10-09	6	17	19	20	29	44	2
1999-10-16	3	4	7	12	30	42	1
1999-10-23	3	5	22	27	34	35	7
1999-10-30	1	10	14	23	45	49	3
1999-11-06	5	7	12	25	34	49	9
1999-11-13	14	19	23	27	30	47	2
1999-11-20	1	7	8	9	24	41	1
1999-11-27	2	5	24	37	43	48	1
1999-12-04	4	19	28	43	44	46	4
1999-12-11	6	7	19	22	46	47	4
1999-12-18	2	6	17	20	25	38	2
1999-12-25	5	18	23	24	30	33	4
