Date	1	2	3	4	5	6	SZ
1957-01-06	11	17	23	26	31	38	-1
1957-01-13	4	15	16	17	19	20	-1
1957-01-20	3	6	7	12	33	47	-1
1957-01-27	2	6	9	28	39	49	-1
1957-02-03	6	12	30	34	39	43	-1
1957-02-10	9	17	18	19	31	49	-1
1957-02-17	1	9	15	31	35	42	-1
1957-02-24	2	15	16	23	28	43	-1
1957-03-03	4	9	11	34	36	45	-1
1957-03-10	2	7	18	35	36	45	-1
1957-03-17	3	14	24	32	35	44	-1
1957-03-24	14	18	22	31	45	48	-1
1957-03-31	20	26	27	30	44	47	-1
1957-04-07	2	14	18	31	40	48	-1
1957-04-14	6	15	18	28	39	44	-1
1957-04-22	11	27	35	39	44	45	-1
1957-04-28	18	20	23	33	37	43	-1
1957-05-05	2	4	22	27	31	41	-1
1957-05-12	15	17	21	24	31	40	-1
1957-05-19	16	20	28	29	30	44	-1
1957-05-26	1	3	24	35	40	45	-1
1957-06-02	3	4	14	29	32	37	-1
1957-06-10	1	7	8	32	35	47	-1
1957-06-16	14	21	30	34	38	44	-1
1957-06-23	4	8	10	12	19	25	-1
1957-06-30	15	23	31	36	37	46	-1
1957-07-07	5	6	11	14	22	26	-1
1957-07-14	28	30	34	40	41	44	-1
1957-07-21	1	2	3	23	42	44	-1
1957-07-28	1	9	20	25	27	34	-1
1957-08-04	6	8	17	42	43	48	-1
1957-08-11	13	26	29	33	36	39	-1
1957-08-18	3	8	14	40	41	48	-1
1957-08-25	24	30	31	36	38	42	-1
1957-09-01	2	4	7	27	40	47	-1
1957-09-08	12	20	21	27	38	40	-1
1957-09-15	12	19	24	28	34	37	-1
1957-09-22	7	9	10	25	33	35	-1
1957-09-29	13	20	21	22	26	42	-1
1957-10-06	6	9	11	25	26	31	-1
1957-10-13	1	14	29	30	41	49	-1
1957-10-20	2	24	27	35	36	42	-1
1957-10-27	2	4	9	18	22	23	-1
1957-11-03	3	11	26	45	46	49	-1
1957-11-10	16	20	24	30	45	46	-1
1957-11-17	8	20	22	24	34	49	-1
1957-11-24	1	3	14	23	25	26	-1
1957-12-01	9	11	26	27	36	46	-1
1957-12-08	3	26	32	43	45	47	-1
1957-12-15	7	11	18	22	27	39	-1
1957-12-22	4	7	22	23	28	33	-1
1957-12-29	14	34	36	45	46	47	-1
