Date	1	2	3	4	5	6	SZ
1992-01-04	11	16	18	27	32	39	0
1992-01-11	1	3	18	21	39	45	6
1992-01-18	4	9	14	31	32	48	3
1992-01-25	20	22	31	40	41	47	7
1992-02-01	14	16	22	30	35	47	9
1992-02-08	6	16	25	37	40	41	8
1992-02-15	4	17	32	35	41	48	2
1992-02-22	3	4	11	39	40	46	0
1992-02-29	11	13	19	25	27	30	6
1992-03-07	9	15	28	31	42	43	1
1992-03-14	2	16	18	36	45	46	6
1992-03-21	14	19	20	21	35	47	1
1992-03-28	1	5	21	36	37	42	4
1992-04-04	1	3	5	17	27	30	9
1992-04-11	11	14	29	31	37	49	1
1992-04-18	10	24	31	40	41	49	6
1992-04-25	4	5	15	22	25	39	0
1992-05-02	2	5	22	29	39	46	7
1992-05-09	3	4	15	19	32	41	9
1992-05-16	1	7	17	28	44	49	4
1992-05-23	9	21	26	29	36	38	5
1992-05-30	8	19	21	32	33	36	2
1992-06-06	6	11	24	26	29	36	6
1992-06-13	2	17	23	35	43	46	1
1992-06-20	2	27	28	41	44	46	9
1992-06-27	3	14	15	19	24	42	5
1992-07-04	12	16	28	32	35	39	2
1992-07-11	1	5	16	19	24	48	5
1992-07-18	8	20	25	30	36	37	1
1992-07-25	1	5	18	35	45	48	9
1992-08-01	6	10	15	17	25	41	1
1992-08-08	5	9	10	25	26	45	7
1992-08-15	11	12	14	35	37	43	5
1992-08-22	5	32	36	39	40	45	4
1992-08-29	10	12	25	41	47	49	0
1992-09-05	8	12	30	32	35	38	1
1992-09-12	14	15	19	20	25	33	1
1992-09-19	3	5	24	35	42	46	4
1992-09-26	12	13	18	19	28	37	7
1992-10-03	7	8	18	19	32	49	9
1992-10-10	11	12	22	33	41	42	4
1992-10-17	16	24	26	28	39	45	4
1992-10-24	5	7	16	18	22	45	9
1992-10-31	5	14	24	34	46	48	8
1992-11-07	12	15	19	27	28	48	5
1992-11-14	17	18	19	34	46	48	1
1992-11-21	3	15	28	33	38	43	9
1992-11-28	7	18	34	38	40	49	4
1992-12-05	4	5	12	17	28	45	5
1992-12-12	5	9	12	19	21	28	5
1992-12-19	5	8	10	11	18	31	0
1992-12-26	2	7	15	17	39	43	8
