Date	1	2	3	4	5	6	SZ
2009-01-03	6	10	14	21	40	46	0
2009-01-07	3	6	20	23	26	37	7
2009-01-10	6	17	18	37	41	49	4
2009-01-14	1	7	9	22	29	32	1
2009-01-17	4	12	32	38	42	46	1
2009-01-21	5	7	8	10	38	40	0
2009-01-24	2	12	14	16	36	46	0
2009-01-28	1	3	15	24	38	47	0
2009-01-31	7	9	11	14	17	31	2
2009-02-04	2	5	10	21	42	46	1
2009-02-07	2	13	15	35	39	48	3
2009-02-11	13	22	39	41	42	43	7
2009-02-14	17	28	29	40	42	47	2
2009-02-18	15	19	39	43	48	49	3
2009-02-21	3	14	18	29	31	41	7
2009-02-25	2	7	10	22	34	43	1
2009-02-28	1	15	20	21	22	33	6
2009-03-04	6	28	31	38	42	44	4
2009-03-07	7	26	33	37	38	44	8
2009-03-11	8	13	32	39	47	48	5
2009-03-14	5	8	26	44	45	49	4
2009-03-18	4	17	29	37	42	47	5
2009-03-21	10	13	21	23	34	38	5
2009-03-25	14	25	31	32	41	49	8
2009-03-28	3	4	41	44	47	49	0
2009-04-01	3	13	17	21	32	33	8
2009-04-04	1	2	11	22	26	36	4
2009-04-08	5	12	19	28	29	37	1
2009-04-11	2	3	7	17	37	38	4
2009-04-15	2	4	9	20	42	48	5
2009-04-18	2	5	10	20	25	42	7
2009-04-22	6	11	24	31	32	45	7
2009-04-25	6	11	18	19	35	43	0
2009-04-29	7	10	14	15	40	41	9
2009-05-02	2	13	17	18	26	41	0
2009-05-06	1	2	7	41	44	45	3
2009-05-09	8	22	24	30	36	40	8
2009-05-13	16	25	34	41	45	47	5
2009-05-16	15	32	35	36	42	47	8
2009-05-20	6	8	27	28	31	47	5
2009-05-23	13	14	20	28	29	33	9
2009-05-27	9	11	16	19	42	44	4
2009-05-30	17	18	21	35	36	43	9
2009-06-03	3	9	15	18	21	33	7
2009-06-06	3	10	13	23	27	35	2
2009-06-10	11	23	28	32	35	36	3
2009-06-13	4	6	38	42	46	48	7
2009-06-17	7	10	29	40	42	43	4
2009-06-20	18	26	35	37	41	46	7
2009-06-24	9	19	32	36	37	39	3
2009-06-27	3	14	37	38	45	47	1
2009-07-01	2	11	18	26	32	49	5
2009-07-04	11	15	30	31	32	39	1
2009-07-08	4	5	31	36	40	43	6
2009-07-11	1	3	12	14	27	43	0
2009-07-15	2	6	14	25	38	43	0
2009-07-18	1	2	5	9	30	45	5
2009-07-22	3	8	19	32	40	43	6
2009-07-25	6	11	23	24	31	35	0
2009-07-29	9	10	13	20	32	37	3
2009-08-01	2	16	30	35	44	46	8
2009-08-05	4	36	13	19	15	39	5
2009-08-08	9	19	32	34	38	41	2
2009-08-12	8	15	24	28	37	40	0
2009-08-15	3	5	8	23	34	42	5
2009-08-19	22	32	35	39	43	44	9
2009-08-22	8	12	14	17	22	25	9
2009-08-26	15	22	23	26	33	43	6
2009-08-29	13	23	24	35	36	44	6
2009-09-02	7	8	29	30	34	39	4
2009-09-05	4	12	24	25	26	45	8
2009-09-09	12	16	22	29	34	43	1
2009-09-12	5	19	23	34	40	41	8
2009-09-16	5	22	27	31	32	49	3
2009-09-19	11	14	17	22	33	39	0
2009-09-23	3	4	23	30	43	44	6
2009-09-26	8	9	25	33	39	45	4
2009-09-30	20	22	30	31	37	41	6
2009-10-03	11	16	19	27	34	36	4
2009-10-07	10	28	34	38	45	48	0
2009-10-10	15	16	20	24	27	40	8
2009-10-14	10	22	23	41	43	47	8
2009-10-17	24	31	39	43	44	45	4
2009-10-21	10	16	25	40	42	44	4
2009-10-24	5	18	22	24	39	48	1
2009-10-28	16	39	42	43	45	48	5
2009-10-31	7	13	21	22	25	33	7
2009-11-04	2	4	6	8	14	28	5
2009-11-07	1	9	27	28	34	37	8
2009-11-11	10	11	19	32	42	46	5
2009-11-14	1	3	10	11	25	44	8
2009-11-18	6	8	16	23	25	44	2
2009-11-21	4	8	14	24	44	47	1
2009-11-25	10	12	18	24	43	44	3
2009-11-28	24	30	33	34	36	45	6
2009-12-02	12	17	24	30	31	32	9
2009-12-05	6	7	8	16	29	42	8
2009-12-09	1	5	13	22	26	29	1
2009-12-12	4	18	22	26	38	49	5
2009-12-16	2	8	11	18	19	38	4
2009-12-19	7	14	15	18	29	47	3
2009-12-23	2	5	28	36	44	48	8
2009-12-26	7	11	16	24	39	49	8
2009-12-30	10	16	22	25	37	40	5
