Date	1	2	3	4	5	6	SZ
2004-01-03	5	15	16	37	41	48	7
2004-01-07	10	12	24	44	45	49	7
2004-01-10	9	13	14	33	42	45	9
2004-01-14	5	17	19	21	23	28	7
2004-01-17	20	28	34	35	40	49	0
2004-01-21	5	22	29	30	33	49	4
2004-01-24	9	12	14	20	26	48	4
2004-01-28	15	17	18	27	33	38	2
2004-01-31	16	22	30	32	48	49	6
2004-02-04	1	2	16	21	31	41	4
2004-02-07	14	17	20	23	26	28	1
2004-02-11	4	17	27	28	34	39	9
2004-02-14	23	25	32	35	37	46	8
2004-02-18	20	27	30	40	46	48	3
2004-02-21	5	9	14	28	38	49	1
2004-02-25	5	11	13	21	28	49	4
2004-02-28	1	6	18	24	29	38	5
2004-03-03	20	22	29	44	46	49	7
2004-03-06	1	3	24	37	38	46	4
2004-03-10	4	8	17	38	40	47	2
2004-03-13	6	20	21	28	32	48	9
2004-03-17	1	12	15	21	29	34	4
2004-03-20	3	10	16	24	27	32	4
2004-03-24	3	8	9	11	31	44	6
2004-03-27	26	28	30	40	47	49	0
2004-03-31	13	20	22	23	25	35	4
2004-04-03	1	2	10	16	30	43	3
2004-04-07	4	6	10	33	34	45	4
2004-04-10	3	5	25	43	47	49	6
2004-04-14	4	12	13	38	43	47	1
2004-04-17	18	24	26	29	32	33	8
2004-04-21	1	3	32	33	46	47	1
2004-04-24	1	13	30	33	37	40	3
2004-04-28	25	29	34	43	45	48	6
2004-05-01	8	9	22	27	29	49	6
2004-05-05	6	12	25	31	41	46	8
2004-05-08	4	11	33	37	43	44	7
2004-05-12	5	7	13	23	28	38	7
2004-05-15	3	8	23	29	32	34	1
2004-05-19	3	13	19	24	27	44	7
2004-05-22	5	18	26	31	43	44	7
2004-05-26	8	12	17	21	35	40	0
2004-05-29	3	4	14	18	24	40	8
2004-06-02	10	17	32	38	41	43	4
2004-06-05	15	19	31	34	41	44	7
2004-06-09	5	11	16	28	32	40	4
2004-06-12	3	6	12	13	30	36	9
2004-06-16	2	11	14	22	34	47	7
2004-06-19	19	22	26	27	31	40	4
2004-06-23	8	13	14	19	39	44	4
2004-06-26	18	30	31	33	35	40	2
2004-06-30	6	8	15	27	33	34	9
2004-07-03	4	16	17	20	36	49	5
2004-07-07	4	11	12	26	41	45	8
2004-07-10	2	4	31	39	40	46	5
2004-07-14	6	7	8	34	42	48	4
2004-07-17	10	23	24	25	27	41	0
2004-07-21	10	11	38	43	45	47	0
2004-07-24	2	9	13	27	37	48	0
2004-07-28	3	13	30	35	41	49	3
2004-07-31	3	6	9	33	44	48	5
2004-08-04	8	17	19	33	43	45	3
2004-08-07	5	7	26	35	39	45	6
2004-08-11	12	18	23	27	32	46	4
2004-08-14	3	12	37	40	48	49	1
2004-08-18	5	7	8	14	23	33	2
2004-08-21	1	6	21	27	31	47	0
2004-08-25	2	5	13	19	30	47	9
2004-08-28	1	12	21	31	36	40	6
2004-09-01	17	31	32	41	42	43	4
2004-09-04	1	3	4	11	19	40	4
2004-09-08	3	9	20	38	39	45	2
2004-09-11	6	10	12	16	17	31	9
2004-09-15	1	26	27	28	29	31	6
2004-09-18	1	5	17	22	26	41	0
2004-09-22	2	6	12	14	28	40	4
2004-09-25	5	7	28	33	39	42	2
2004-09-29	1	14	28	29	43	45	1
2004-10-02	11	19	28	29	42	45	5
2004-10-06	9	23	29	37	39	43	0
2004-10-09	11	15	21	22	27	47	9
2004-10-13	11	12	13	20	32	42	8
2004-10-16	6	7	21	23	28	29	7
2004-10-20	6	7	10	18	35	43	3
2004-10-23	26	29	32	34	40	48	7
2004-10-27	7	27	29	31	37	38	3
2004-10-30	10	27	30	39	40	47	7
2004-11-03	5	8	15	22	35	48	5
2004-11-06	16	24	33	36	45	47	9
2004-11-10	7	8	19	25	28	45	4
2004-11-13	5	27	41	42	43	46	9
2004-11-17	5	15	17	24	26	43	9
2004-11-20	7	18	19	33	46	49	6
2004-11-24	7	8	31	35	36	49	5
2004-11-27	18	27	36	39	41	47	0
2004-12-01	3	10	13	28	38	45	2
2004-12-04	2	8	17	36	38	40	1
2004-12-08	4	14	15	25	30	32	3
2004-12-11	3	7	9	33	35	42	2
2004-12-15	6	13	19	34	45	48	9
2004-12-18	1	10	12	16	22	30	9
2004-12-22	5	15	16	19	20	43	0
2004-12-25	9	13	22	41	47	48	6
2004-12-29	4	5	25	26	28	39	7
