Date	1	2	3	4	5	6	SZ
1969-01-04	3	12	16	36	38	39	-1
1969-01-11	2	15	20	33	39	40	-1
1969-01-18	14	15	35	36	37	40	-1
1969-01-25	5	9	10	38	40	49	-1
1969-02-01	2	9	10	11	24	35	-1
1969-02-08	5	22	24	33	38	42	-1
1969-02-15	14	15	19	21	33	38	-1
1969-02-22	20	26	27	37	40	45	-1
1969-03-01	6	21	29	33	43	45	-1
1969-03-08	9	21	36	41	42	48	-1
1969-03-15	1	4	15	28	30	41	-1
1969-03-22	9	11	32	41	45	49	-1
1969-03-29	15	17	27	29	30	41	-1
1969-04-05	16	25	27	32	35	46	-1
1969-04-12	15	16	31	40	43	47	-1
1969-04-19	8	9	19	24	34	43	-1
1969-04-26	2	23	34	40	45	49	-1
1969-05-03	1	18	25	26	46	48	-1
1969-05-10	14	21	25	34	48	49	-1
1969-05-17	3	10	13	27	46	48	-1
1969-05-24	4	11	12	13	32	48	-1
1969-05-31	17	26	29	40	43	47	-1
1969-06-07	3	12	22	30	45	49	-1
1969-06-14	2	15	18	24	36	48	-1
1969-06-21	8	20	25	31	40	47	-1
1969-06-28	3	11	17	20	41	46	-1
1969-07-05	9	21	22	40	43	45	-1
1969-07-12	1	10	20	22	26	40	-1
1969-07-19	11	14	32	34	44	46	-1
1969-07-26	13	21	26	44	48	49	-1
1969-08-02	7	14	24	33	43	49	-1
1969-08-09	5	8	22	25	31	49	-1
1969-08-16	1	14	17	33	38	47	-1
1969-08-23	6	10	23	33	36	40	-1
1969-08-30	3	4	15	25	28	49	-1
1969-09-06	11	12	33	36	39	40	-1
1969-09-13	12	22	26	27	40	41	-1
1969-09-20	5	9	18	24	25	38	-1
1969-09-27	10	33	39	43	46	48	-1
1969-10-04	3	11	15	21	29	37	-1
1969-10-11	2	4	6	7	20	39	-1
1969-10-18	8	14	17	27	36	45	-1
1969-10-25	4	7	12	14	19	36	-1
1969-11-01	7	10	19	28	32	38	-1
1969-11-08	3	10	15	18	21	46	-1
1969-11-15	4	12	18	21	38	42	-1
1969-11-22	29	36	37	38	39	49	-1
1969-11-29	1	6	23	29	32	38	-1
1969-12-06	9	22	34	38	41	45	-1
1969-12-13	7	10	31	39	44	45	-1
1969-12-20	6	8	13	15	48	49	-1
1969-12-27	3	9	12	29	35	49	-1
