Date	1	2	3	4	5	6	SZ
2024-01-03	14	25	28	32	36	49	4
2024-01-06	3	5	14	18	34	47	7
2024-01-10	3	7	21	24	37	49	9
2024-01-13	1	6	8	26	27	48	6
2024-01-17	6	9	13	30	40	44	6
2024-01-20	1	8	11	25	45	49	4
2024-01-24	9	10	19	29	35	39	1
2024-01-27	14	20	24	29	33	43	4
2024-01-31	11	24	28	29	40	43	7
2024-02-03	3	14	19	21	23	24	5
2024-02-07	1	8	15	19	26	31	0
2024-02-10	1	19	33	37	39	47	6
2024-02-14	17	34	35	43	46	48	4
2024-02-17	8	23	31	34	36	40	0
2024-02-21	7	8	23	30	33	40	3
2024-02-24	2	21	28	34	40	49	2
2024-02-28	1	4	22	26	28	37	3
2024-03-02	6	8	18	26	33	37	2
2024-03-06	8	11	17	23	40	42	3
2024-03-09	1	5	10	20	41	48	8
2024-03-13	10	11	18	29	31	39	5
2024-03-16	5	16	19	25	40	48	3
2024-03-20	7	9	16	24	40	45	8
2024-03-23	1	4	21	32	38	40	7
2024-03-27	2	13	20	32	41	44	2
2024-03-30	5	10	16	21	27	33	0
2024-04-03	2	3	29	31	35	36	9
2024-04-06	7	11	13	20	35	41	0
2024-04-10	7	8	13	43	47	49	2
2024-04-13	3	6	10	32	33	47	0
2024-04-17	9	16	34	37	40	47	2
2024-04-20	7	17	28	35	44	49	3
2024-04-24	12	13	15	19	25	29	7
2024-04-27	8	27	43	45	46	48	0
2024-05-01	6	26	31	36	37	41	1
2024-05-04	9	10	27	29	38	47	1
2024-05-08	3	23	27	30	31	40	8
2024-05-11	5	22	25	29	30	36	0
2024-05-15	9	10	28	31	44	46	9
2024-05-18	1	2	28	36	43	49	0
2024-05-22	8	9	10	15	38	47	4
2024-05-25	8	15	24	32	38	41	5
2024-05-29	3	5	11	12	28	44	6
2024-06-01	8	9	10	27	35	41	0
2024-06-05	10	11	16	19	26	33	5
2024-06-08	5	10	15	22	31	40	9
2024-06-12	5	9	10	11	22	46	2
2024-06-15	3	16	30	31	38	49	8
2024-06-19	1	4	12	30	32	43	4
2024-06-22	8	9	11	21	25	30	1
2024-06-26	7	17	30	35	36	39	9
2024-06-29	11	15	16	19	30	35	3
2024-07-03	3	18	30	33	34	39	8
2024-07-06	1	6	13	29	35	49	6
2024-07-10	2	12	17	22	27	43	7
2024-07-13	9	10	17	25	37	42	0
2024-07-17	5	8	9	22	30	33	6
2024-07-20	5	8	19	29	30	35	5
2024-07-24	4	5	24	38	39	47	3
2024-07-27	4	20	23	25	27	34	3
2024-07-31	2	8	13	18	25	33	1
2024-08-03	1	10	12	14	31	44	1
2024-08-07	3	9	15	16	33	37	5
2024-08-10	5	14	19	20	26	43	2
2024-08-14	3	8	9	15	22	26	4
2024-08-17	2	27	35	40	45	46	5
2024-08-21	9	13	25	32	37	40	0
2024-08-24	4	12	24	26	29	47	8
2024-08-28	2	5	22	25	27	46	5
2024-08-31	6	11	21	24	44	48	9
2024-09-04	3	10	16	27	45	48	2
2024-09-07	5	8	14	26	32	43	8
2024-09-11	5	9	18	28	33	49	8
2024-09-14	2	10	14	23	25	31	2
2024-09-18	9	28	31	41	43	44	3
2024-09-21	11	18	28	30	43	46	9
2024-09-25	4	9	11	27	28	46	1
2024-09-28	6	16	17	26	30	33	6
2024-10-02	4	5	18	23	26	41	9
2024-10-05	5	10	12	28	40	44	8
2024-10-09	8	15	24	34	38	46	3
2024-10-12	5	14	15	33	40	43	5
2024-10-16	4	5	9	22	47	48	0
2024-10-19	1	8	19	31	41	43	3
2024-10-23	10	18	25	37	40	49	1
2024-10-26	5	8	16	21	43	49	8
2024-10-30	2	7	21	25	32	46	9
2024-11-02	8	9	17	20	37	40	2
2024-11-06	14	17	28	33	40	44	3
2024-11-09	2	18	33	39	40	47	7
2024-11-13	6	24	36	38	44	47	0
2024-11-16	11	14	15	19	39	40	4
2024-11-20	7	15	25	26	34	45	6
2024-11-23	3	8	17	26	42	44	6
2024-11-27	7	12	16	30	34	39	4
2024-11-30	7	13	33	37	38	42	0
2024-12-04	5	14	18	29	36	41	3
2024-12-07	6	15	19	30	32	37	9
2024-12-11	14	15	30	34	35	49	5
2024-12-14	1	4	9	14	27	44	3
2024-12-18	2	6	22	30	37	42	6
2024-12-21	3	6	8	34	39	44	5
2024-12-25	5	7	9	24	44	48	0
2024-12-28	7	13	18	28	40	44	5
