Date	1	2	3	4	5	6	SZ
2025-01-01	3	7	15	18	26	33	2
2025-01-04	2	6	24	30	36	45	2
2025-01-08	9	27	28	30	45	49	6
2025-01-11	10	22	26	27	30	33	8
2025-01-15	1	13	30	36	38	41	6
2025-01-18	3	12	16	20	26	33	3
2025-01-22	9	31	34	35	40	41	4
2025-01-25	10	11	25	36	48	49	2
2025-01-29	7	16	25	35	41	48	2
2025-02-01	8	9	11	22	25	27	8
2025-02-05	1	9	14	15	18	30	8
2025-02-08	13	16	20	27	47	49	2
2025-02-12	5	12	30	39	43	47	5
2025-02-15	2	18	23	29	43	48	7
2025-02-19	4	8	10	25	28	44	3
2025-02-22	6	8	12	26	28	34	0
2025-02-26	12	17	22	24	29	45	7
2025-03-01	11	25	26	30	36	44	8
2025-03-05	4	22	26	29	45	46	7
2025-03-08	13	25	26	27	41	44	5
2025-03-12	2	14	26	37	38	46	2
2025-03-15	6	11	30	35	36	47	0
2025-03-19	9	13	29	30	32	38	8
2025-03-22	11	20	28	30	35	41	3
2025-03-26	3	12	16	19	22	41	4
2025-03-29	18	25	31	39	46	47	6
2025-04-02	5	14	19	20	25	48	6
2025-04-05	10	12	21	35	40	41	9
2025-04-09	16	24	31	34	37	40	1
2025-04-12	14	15	18	20	29	36	5
2025-04-16	2	10	13	32	37	49	6
2025-04-19	12	20	31	37	41	47	7
2025-04-23	5	7	11	13	21	38	1
2025-04-26	4	9	13	26	41	44	1
2025-04-30	8	18	19	36	38	42	2
2025-05-03	20	25	28	37	44	48	9
2025-05-07	5	9	12	16	19	28	8
2025-05-10	17	23	32	34	46	48	2
2025-05-14	3	5	15	36	44	46	7
2025-05-17	4	12	15	21	34	36	9
2025-05-21	3	4	20	21	28	30	2
2025-05-24	5	10	11	12	33	35	2
2025-05-28	8	19	20	25	37	49	7
2025-05-31	1	13	14	20	21	36	0
2025-06-04	13	23	28	30	35	38	6
2025-06-07	13	17	23	25	40	46	9
2025-06-11	2	9	14	29	34	39	2
2025-06-14	3	19	24	28	30	39	8
2025-06-18	4	12	20	21	30	33	0
2025-06-21	7	12	16	19	30	36	7
2025-06-25	21	27	35	42	45	46	5
2025-06-28	7	10	11	20	23	37	2
2025-07-02	13	17	39	40	44	45	6
2025-07-05	1	8	29	37	42	44	0
2025-07-09	1	6	15	28	47	48	7
2025-07-12	10	20	23	26	31	44	7
2025-07-16	27	34	39	43	44	48	6
2025-07-19	4	6	12	35	36	40	2
2025-07-23	4	13	15	19	26	27	8
2025-07-26	6	7	17	28	37	42	7
2025-07-30	1	19	24	28	39	45	6
2025-08-02	9	14	17	20	27	48	4
2025-08-06	4	17	20	32	35	42	8
2025-08-09	1	6	8	20	22	46	9
2025-08-13	9	11	13	30	41	46	3
2025-08-16	10	21	33	35	36	44	6
2025-08-20	4	19	21	38	39	47	2
2025-08-23	3	9	13	21	23	27	9
2025-08-27	8	22	35	41	43	48	4
2025-08-30	5	11	13	39	42	48	6
2025-09-03	7	8	30	35	39	44	9
2025-09-06	2	4	16	29	44	45	1
2025-09-10	3	15	17	21	22	37	1
2025-09-13	2	8	15	23	25	43	0
2025-09-17	20	21	22	27	37	44	7
2025-09-20	6	13	15	19	43	44	4
2025-09-24	9	14	16	29	31	48	8
2025-09-27	8	11	14	20	36	38	5
2025-10-01	9	12	14	32	37	41	1
2025-10-04	2	11	12	23	29	37	6
2025-10-08	6	7	10	20	40	42	0
2025-10-11	13	17	22	23	28	36	1
2025-10-15	4	5	6	7	13	21	1
2025-10-18	2	18	25	42	44	47	9
2025-10-22	4	14	19	26	35	40	0
2025-10-25	16	17	23	30	39	42	9
2025-10-29	5	7	9	31	43	46	9
2025-11-01	7	18	28	29	35	38	9
2025-11-05	8	20	28	33	37	49	6
2025-11-08	2	10	16	26	39	44	0
2025-11-12	6	11	20	28	36	46	7
2025-11-15	6	9	12	13	32	39	9
2025-11-19	4	7	18	26	37	48	6
2025-11-22	15	18	21	29	32	33	5
2025-11-26	2	9	24	28	29	39	8
2025-11-29	1	13	16	22	25	44	0
2025-12-03	21	27	29	37	44	49	6
2025-12-06	15	26	27	33	35	37	2
2025-12-10	3	11	12	13	17	24	8
2025-12-13	6	11	21	32	37	45	3
2025-12-17	6	13	25	26	32	37	2
2025-12-20	12	23	32	33	40	42	5
2025-12-24	7	8	25	32	37	39	8
2025-12-27	7	10	27	28	38	46	6
2025-12-31	3	5	7	28	36	41	5
