Date	1	2	3	4	5	6	SZ
1976-01-03	9	11	21	25	37	44	-1
1976-01-10	3	11	16	28	39	49	-1
1976-01-17	9	10	29	41	46	47	-1
1976-01-24	6	13	22	38	41	45	-1
1976-01-31	4	24	29	32	34	43	-1
1976-02-07	1	3	7	32	41	46	-1
1976-02-14	10	11	13	15	18	30	-1
1976-02-21	9	17	20	23	24	31	-1
1976-02-28	8	30	32	40	44	48	-1
1976-03-06	1	10	13	26	38	46	-1
1976-03-13	1	9	12	30	41	45	-1
1976-03-20	4	8	26	29	32	43	-1
1976-03-27	17	23	25	29	42	44	-1
1976-04-03	2	10	11	13	40	41	-1
1976-04-10	5	8	12	15	21	48	-1
1976-04-17	1	20	23	36	41	42	-1
1976-04-24	5	19	21	23	41	46	-1
1976-05-01	20	26	29	42	45	48	-1
1976-05-08	1	9	10	28	46	49	-1
1976-05-15	2	5	22	43	44	45	-1
1976-05-22	9	17	18	37	43	48	-1
1976-05-29	12	15	17	25	32	41	-1
1976-06-05	1	6	20	33	45	46	-1
1976-06-12	5	11	13	29	35	47	-1
1976-06-19	2	7	23	34	41	47	-1
1976-06-26	7	19	20	24	25	35	-1
1976-07-03	3	14	15	17	32	47	-1
1976-07-10	5	6	12	15	32	33	-1
1976-07-17	5	9	12	26	38	46	-1
1976-07-24	5	20	25	26	27	41	-1
1976-07-31	26	28	31	42	43	44	-1
1976-08-07	5	16	21	33	35	40	-1
1976-08-14	2	6	16	26	30	39	-1
1976-08-21	7	11	19	20	26	37	-1
1976-08-28	4	6	8	9	29	43	-1
1976-09-04	6	16	17	19	28	30	-1
1976-09-11	9	11	12	20	37	49	-1
1976-09-18	3	6	11	24	32	40	-1
1976-09-25	9	23	28	32	44	46	-1
1976-10-02	3	16	37	39	47	48	-1
1976-10-09	6	9	19	24	35	39	-1
1976-10-16	1	2	23	33	34	47	-1
1976-10-23	8	15	22	30	38	40	-1
1976-10-30	2	7	16	38	43	47	-1
1976-11-06	3	8	10	15	17	30	-1
1976-11-13	2	8	11	17	25	45	-1
1976-11-20	7	14	25	29	36	49	-1
1976-11-27	3	13	18	35	40	43	-1
1976-12-04	3	6	29	35	38	47	-1
1976-12-11	1	2	15	28	32	44	-1
1976-12-18	2	23	25	38	45	46	-1
1976-12-25	12	16	25	38	43	44	-1
