Date	1	2	3	4	5	6	SZ
1994-01-01	5	15	38	41	42	49	9
1994-01-08	10	13	19	32	35	43	5
1994-01-15	13	22	32	39	41	43	0
1994-01-22	3	13	17	30	37	44	4
1994-01-29	10	20	28	37	46	48	9
1994-02-05	5	10	18	21	29	34	9
1994-02-12	2	16	17	34	39	40	3
1994-02-19	2	12	15	24	31	39	7
1994-02-26	7	9	31	39	44	48	4
1994-03-05	4	7	11	32	46	49	2
1994-03-12	7	19	29	37	42	46	5
1994-03-19	11	14	24	32	36	42	0
1994-03-26	4	25	27	33	40	44	9
1994-04-02	19	21	32	37	48	49	6
1994-04-09	3	9	25	37	39	47	0
1994-04-16	1	6	17	21	24	46	4
1994-04-23	11	16	17	35	41	44	2
1994-04-30	2	14	17	29	36	44	8
1994-05-07	6	8	16	20	33	47	2
1994-05-14	4	8	11	17	38	39	1
1994-05-21	6	17	26	39	44	47	2
1994-05-28	2	16	19	38	46	49	6
1994-06-04	15	25	27	32	46	48	0
1994-06-11	4	9	16	29	39	49	8
1994-06-18	13	20	26	42	44	45	6
1994-06-25	1	2	10	29	30	35	7
1994-07-02	3	8	22	25	35	49	2
1994-07-09	17	18	25	27	28	36	4
1994-07-16	2	15	22	24	28	35	0
1994-07-23	5	7	20	40	45	48	3
1994-07-30	18	20	35	40	42	49	3
1994-08-06	7	20	27	39	42	44	7
1994-08-13	3	16	17	26	40	43	7
1994-08-20	4	27	33	36	40	41	3
1994-08-27	5	8	9	10	24	38	9
1994-09-03	5	16	17	24	30	42	5
1994-09-10	3	18	34	37	42	45	7
1994-09-17	14	15	27	37	41	48	2
1994-09-24	6	7	16	23	44	47	4
1994-10-01	1	8	9	28	32	38	6
1994-10-08	3	12	35	36	44	48	2
1994-10-15	5	7	18	22	38	41	1
1994-10-22	19	22	27	31	45	46	8
1994-10-29	7	13	15	23	29	33	4
1994-11-05	6	9	22	24	30	33	4
1994-11-12	19	29	31	36	41	48	7
1994-11-19	3	4	6	18	46	47	3
1994-11-26	3	10	13	14	23	28	1
1994-12-03	3	23	27	32	36	48	1
1994-12-10	2	3	5	8	13	43	1
1994-12-17	19	24	35	36	37	38	5
1994-12-24	1	6	13	16	30	43	9
1994-12-31	7	15	26	32	37	41	8
