Date	1	2	3	4	5	6	SZ
1998-01-03	12	15	16	20	29	45	7
1998-01-10	2	19	29	36	43	49	1
1998-01-17	15	30	31	32	41	48	5
1998-01-24	14	22	25	35	44	48	8
1998-01-31	5	6	17	23	27	47	6
1998-02-07	12	36	40	42	44	48	6
1998-02-14	10	11	17	32	36	49	3
1998-02-21	2	13	29	37	47	49	0
1998-02-28	24	33	36	44	45	49	7
1998-03-07	12	18	23	25	40	44	5
1998-03-14	1	12	22	31	39	45	2
1998-03-21	5	9	16	38	40	41	1
1998-03-28	2	8	10	11	22	35	0
1998-04-04	3	17	39	41	42	48	8
1998-04-11	8	23	31	33	35	39	0
1998-04-18	3	11	24	45	46	49	0
1998-04-25	8	33	38	44	47	49	4
1998-05-02	18	32	34	38	40	48	5
1998-05-09	1	3	14	21	22	47	1
1998-05-16	5	15	22	36	37	43	2
1998-05-23	11	13	22	27	33	48	9
1998-05-30	4	9	15	22	38	45	0
1998-06-06	5	15	21	32	34	35	9
1998-06-13	6	8	14	20	27	34	8
1998-06-20	19	27	29	31	38	44	4
1998-06-27	1	6	11	12	16	20	3
1998-07-04	14	16	23	25	30	36	6
1998-07-11	2	10	14	38	41	49	9
1998-07-18	2	19	30	31	37	42	7
1998-07-25	9	13	14	34	38	49	7
1998-08-01	3	20	21	38	39	43	8
1998-08-08	7	11	15	22	37	39	3
1998-08-15	6	19	20	30	46	48	5
1998-08-22	5	24	36	38	40	47	8
1998-08-29	3	7	11	26	42	43	5
1998-09-05	8	15	32	41	45	48	4
1998-09-12	9	28	29	38	46	49	0
1998-09-19	9	20	26	27	32	48	6
1998-09-26	1	5	7	12	13	36	4
1998-10-03	18	23	29	32	40	44	4
1998-10-10	4	27	29	31	39	41	4
1998-10-17	1	5	28	32	35	36	4
1998-10-24	1	7	19	26	31	38	2
1998-10-31	2	5	6	24	26	44	0
1998-11-07	1	4	19	23	31	32	2
1998-11-14	7	25	27	32	33	41	7
1998-11-21	2	11	21	31	36	41	9
1998-11-28	10	17	28	33	34	38	3
1998-12-05	9	22	31	35	43	48	5
1998-12-12	7	10	17	25	28	41	4
1998-12-19	7	14	19	29	32	33	4
1998-12-26	19	20	24	29	43	45	0
