Date	1	2	3	4	5	6	SZ
1960-01-03	9	39	40	42	43	48	-1
1960-01-10	22	27	28	33	36	41	-1
1960-01-17	7	14	15	24	33	49	-1
1960-01-24	22	37	42	43	45	48	-1
1960-01-31	4	29	30	40	41	49	-1
1960-02-07	8	13	20	33	41	48	-1
1960-02-14	10	12	22	26	28	45	-1
1960-02-21	1	12	14	25	26	45	-1
1960-02-28	3	4	12	13	20	24	-1
1960-03-06	2	6	25	34	44	48	-1
1960-03-13	19	28	32	41	43	46	-1
1960-03-20	26	33	43	45	47	48	-1
1960-03-27	4	5	19	22	32	42	-1
1960-04-03	9	10	22	25	30	47	-1
1960-04-10	3	7	15	39	43	47	-1
1960-04-18	3	17	36	39	44	48	-1
1960-04-24	4	17	25	33	40	42	-1
1960-05-01	12	14	22	35	39	45	-1
1960-05-08	3	9	28	32	33	41	-1
1960-05-15	7	14	22	36	41	46	-1
1960-05-22	6	8	14	28	32	36	-1
1960-05-29	2	26	28	29	32	39	-1
1960-06-06	24	31	32	40	44	48	-1
1960-06-12	10	15	24	27	31	34	-1
1960-06-19	14	19	24	31	40	41	-1
1960-06-26	8	10	13	27	39	49	-1
1960-07-03	4	17	21	23	34	49	-1
1960-07-10	15	16	21	23	35	43	-1
1960-07-17	12	20	22	29	30	49	-1
1960-07-24	4	13	22	23	29	44	-1
1960-07-31	5	18	25	32	33	38	-1
1960-08-07	13	27	34	35	43	48	-1
1960-08-14	4	7	14	25	30	38	-1
1960-08-21	6	10	11	12	19	43	-1
1960-08-28	12	24	28	31	37	39	-1
1960-09-04	11	22	27	45	46	48	-1
1960-09-11	23	25	32	41	42	46	-1
1960-09-18	3	19	22	25	29	45	-1
1960-09-25	7	8	17	18	33	48	-1
1960-10-02	3	4	12	16	19	31	-1
1960-10-09	12	20	24	30	38	45	-1
1960-10-16	5	14	22	25	29	38	-1
1960-10-23	5	6	18	29	31	48	-1
1960-10-30	8	24	35	41	47	49	-1
1960-11-06	3	9	10	18	19	24	-1
1960-11-13	4	15	20	30	41	47	-1
1960-11-20	13	14	19	33	36	42	-1
1960-11-27	1	14	20	27	46	47	-1
1960-12-04	3	4	5	13	18	22	-1
1960-12-11	12	23	24	26	32	34	-1
1960-12-18	1	5	8	45	46	47	-1
1960-12-26	8	20	36	40	42	47	-1
