Date	1	2	3	4	5	6	SZ
1977-01-01	23	24	25	31	36	39	-1
1977-01-08	2	7	13	30	31	33	-1
1977-01-15	16	24	38	39	44	46	-1
1977-01-22	2	3	12	16	19	38	-1
1977-01-29	2	7	9	16	20	40	-1
1977-02-05	4	8	9	23	37	42	-1
1977-02-12	19	23	24	25	37	43	-1
1977-02-19	5	9	10	15	16	31	-1
1977-02-26	2	20	34	37	44	49	-1
1977-03-05	9	10	34	39	40	49	-1
1977-03-12	8	9	10	16	33	46	-1
1977-03-19	15	19	21	22	31	49	-1
1977-03-26	9	13	14	20	36	44	-1
1977-04-02	3	5	17	18	34	47	-1
1977-04-09	3	27	29	41	45	49	-1
1977-04-16	5	20	25	39	48	49	-1
1977-04-23	16	17	26	30	41	43	-1
1977-04-30	1	8	12	15	27	34	-1
1977-05-07	5	16	17	20	24	35	-1
1977-05-14	15	25	31	36	37	41	-1
1977-05-21	5	7	9	21	27	36	-1
1977-05-28	12	13	22	39	45	48	-1
1977-06-04	11	29	30	32	36	48	-1
1977-06-11	3	12	14	32	40	46	-1
1977-06-18	9	17	18	20	29	40	-1
1977-06-25	6	20	32	38	40	41	-1
1977-07-02	11	18	20	27	34	47	-1
1977-07-09	3	7	19	24	30	36	-1
1977-07-16	2	37	39	44	47	49	-1
1977-07-23	6	13	22	24	37	42	-1
1977-07-30	11	15	24	36	40	42	-1
1977-08-06	2	15	28	36	37	42	-1
1977-08-13	9	10	20	21	30	34	-1
1977-08-20	13	16	19	27	32	37	-1
1977-08-27	3	7	9	14	22	35	-1
1977-09-03	3	21	24	28	29	36	-1
1977-09-10	3	23	25	40	44	48	-1
1977-09-17	1	22	32	33	37	40	-1
1977-09-24	10	11	12	13	18	32	-1
1977-10-01	2	18	27	42	45	47	-1
1977-10-08	7	12	24	26	44	45	-1
1977-10-15	8	32	36	38	43	47	-1
1977-10-22	1	2	3	6	26	48	-1
1977-10-29	8	28	31	34	35	49	-1
1977-11-05	10	17	19	26	42	43	-1
1977-11-12	16	18	29	33	34	48	-1
1977-11-19	19	21	35	36	43	47	-1
1977-11-26	5	27	30	42	46	47	-1
1977-12-03	13	16	23	25	26	47	-1
1977-12-10	7	24	27	31	34	44	-1
1977-12-17	1	7	12	26	35	41	-1
1977-12-24	8	18	23	25	38	42	-1
1977-12-31	4	14	15	18	29	44	-1
