Date	1	2	3	4	5	6	SZ
2011-01-01	2	14	18	26	35	36	1
2011-01-05	24	29	36	42	46	49	7
2011-01-08	23	26	27	32	33	41	5
2011-01-12	2	8	12	22	23	28	2
2011-01-15	12	13	21	26	33	38	3
2011-01-19	5	6	8	29	34	35	1
2011-01-22	3	7	14	19	23	35	5
2011-01-26	6	22	23	28	34	37	4
2011-01-29	8	11	21	30	35	45	7
2011-02-02	6	15	17	22	34	46	4
2011-02-05	9	11	24	34	35	41	8
2011-02-09	13	14	23	39	41	46	3
2011-02-12	1	2	5	24	31	32	4
2011-02-16	3	8	11	25	30	46	0
2011-02-19	12	14	16	33	42	47	5
2011-02-23	6	16	22	27	39	40	1
2011-02-26	18	19	32	38	47	49	6
2011-03-02	4	9	36	38	42	48	0
2011-03-05	7	13	15	28	33	39	5
2011-03-09	6	13	14	27	41	48	9
2011-03-12	9	15	19	31	38	43	9
2011-03-16	5	18	20	35	41	48	4
2011-03-19	10	11	16	21	41	46	6
2011-03-23	5	11	16	34	40	42	4
2011-03-26	17	19	20	25	28	37	7
2011-03-30	13	18	23	31	32	37	7
2011-04-02	1	16	25	29	33	47	5
2011-04-06	9	14	19	27	31	39	0
2011-04-09	12	26	32	39	44	47	8
2011-04-13	6	9	16	23	26	47	5
2011-04-16	3	4	17	19	35	49	3
2011-04-20	13	20	36	39	40	44	9
2011-04-23	6	16	18	22	29	41	2
2011-04-27	16	21	32	33	42	46	7
2011-04-30	10	12	19	29	33	34	0
2011-05-04	6	14	22	30	36	40	1
2011-05-07	5	12	23	29	34	41	2
2011-05-11	8	26	28	29	31	35	5
2011-05-14	1	9	10	11	20	31	3
2011-05-18	3	13	27	30	33	41	1
2011-05-21	13	24	28	36	45	49	0
2011-05-25	1	8	26	27	35	38	6
2011-05-28	4	17	19	29	34	46	6
2011-06-01	10	11	13	20	22	41	9
2011-06-04	17	22	34	37	38	46	5
2011-06-08	4	15	24	31	38	49	5
2011-06-11	8	16	18	28	34	46	9
2011-06-15	6	21	22	23	32	44	3
2011-06-18	6	14	21	24	25	41	6
2011-06-22	1	4	24	29	34	37	4
2011-06-25	3	4	20	28	37	42	1
2011-06-29	8	10	22	30	36	45	7
2011-07-02	7	10	16	19	22	40	8
2011-07-06	6	11	14	27	32	38	2
2011-07-09	9	11	18	23	36	45	2
2011-07-13	1	25	26	30	39	47	1
2011-07-16	3	14	15	22	27	38	6
2011-07-20	7	11	19	23	42	49	3
2011-07-23	8	12	18	20	24	33	0
2011-07-27	11	12	16	26	32	35	8
2011-07-30	8	11	21	40	42	44	5
2011-08-03	4	8	33	40	41	43	6
2011-08-06	9	11	33	36	41	49	5
2011-08-10	8	12	16	22	23	26	5
2011-08-13	13	14	21	29	31	34	2
2011-08-17	1	11	16	18	20	25	6
2011-08-20	2	7	22	31	32	41	6
2011-08-24	19	28	31	33	36	41	6
2011-08-27	27	29	40	43	44	49	0
2011-08-31	15	17	26	29	32	47	7
2011-09-03	2	8	17	31	36	42	2
2011-09-07	4	10	23	27	28	39	1
2011-09-10	6	9	10	16	28	43	0
2011-09-14	4	5	23	32	39	44	7
2011-09-17	12	23	38	42	46	49	1
2011-09-21	10	24	27	31	41	46	5
2011-09-24	3	5	6	18	24	42	3
2011-09-28	10	14	18	27	38	43	5
2011-10-01	9	13	17	21	29	47	1
2011-10-05	1	2	15	33	43	45	8
2011-10-08	24	25	29	31	34	47	0
2011-10-12	8	10	28	40	43	46	7
2011-10-15	2	5	16	18	37	39	5
2011-10-19	8	10	15	25	31	34	4
2011-10-22	6	7	8	26	34	35	5
2011-10-26	15	30	33	34	37	38	5
2011-10-29	6	17	23	24	35	44	7
2011-11-02	3	6	23	40	41	43	4
2011-11-05	7	13	21	37	41	43	0
2011-11-09	6	14	20	27	28	48	7
2011-11-12	7	12	15	16	30	42	9
2011-11-16	8	14	26	33	47	49	4
2011-11-19	9	24	26	33	40	47	5
2011-11-23	1	10	23	30	38	39	4
2011-11-26	3	13	23	33	38	49	5
2011-11-30	4	12	18	31	42	44	1
2011-12-03	1	10	25	29	44	47	7
2011-12-07	11	16	20	27	32	38	7
2011-12-10	2	4	5	10	25	34	7
2011-12-14	8	14	29	32	36	37	9
2011-12-17	3	19	33	38	44	47	6
2011-12-21	15	17	21	24	39	43	1
2011-12-24	6	12	26	27	32	36	9
2011-12-28	6	13	18	19	20	21	5
2011-12-31	2	5	11	17	19	28	1
