Date	1	2	3	4	5	6	SZ
1966-01-01	6	20	24	30	39	47	-1
1966-01-08	5	9	10	20	37	46	-1
1966-01-15	8	19	28	36	39	40	-1
1966-01-22	5	25	30	36	38	49	-1
1966-01-29	5	8	29	32	39	47	-1
1966-02-05	1	2	8	19	26	39	-1
1966-02-12	19	33	34	41	42	46	-1
1966-02-19	3	7	18	39	44	47	-1
1966-02-26	9	24	29	30	34	45	-1
1966-03-05	7	10	16	24	29	44	-1
1966-03-12	28	29	30	34	44	46	-1
1966-03-19	8	14	19	38	41	43	-1
1966-03-26	5	22	27	30	40	44	-1
1966-04-02	2	6	21	29	37	39	-1
1966-04-09	15	25	26	28	39	41	-1
1966-04-16	6	15	20	26	28	30	-1
1966-04-23	19	26	36	40	41	42	-1
1966-04-30	8	21	34	35	39	43	-1
1966-05-07	1	4	8	19	31	39	-1
1966-05-14	5	9	20	22	36	49	-1
1966-05-21	5	17	30	35	45	49	-1
1966-05-28	9	31	36	37	40	45	-1
1966-06-04	4	8	23	31	45	48	-1
1966-06-11	2	3	6	12	19	22	-1
1966-06-18	4	5	20	27	33	45	-1
1966-06-25	17	18	21	24	33	34	-1
1966-07-02	19	28	33	36	38	46	-1
1966-07-09	15	21	28	36	37	42	-1
1966-07-16	11	22	39	41	43	49	-1
1966-07-23	5	10	12	26	33	47	-1
1966-07-30	4	10	12	32	37	41	-1
1966-08-06	1	7	23	38	40	49	-1
1966-08-13	3	23	24	27	34	40	-1
1966-08-20	5	10	30	38	45	47	-1
1966-08-27	5	12	18	25	40	48	-1
1966-09-03	6	12	21	33	42	43	-1
1966-09-10	16	21	27	28	34	49	-1
1966-09-17	14	21	24	28	38	48	-1
1966-09-24	1	14	16	26	35	44	-1
1966-10-01	10	14	16	21	23	45	-1
1966-10-08	13	28	31	33	34	35	-1
1966-10-15	4	20	28	35	40	44	-1
1966-10-22	1	6	13	17	42	44	-1
1966-10-29	29	35	37	39	42	44	-1
1966-11-05	11	18	25	42	43	46	-1
1966-11-12	1	13	16	27	33	49	-1
1966-11-19	8	18	22	27	29	45	-1
1966-11-26	9	17	30	33	42	43	-1
1966-12-03	5	10	11	12	17	41	-1
1966-12-10	5	8	29	34	45	49	-1
1966-12-17	18	21	38	39	40	41	-1
1966-12-25	10	15	16	19	21	32	-1
