Date	1	2	3	4	5	6	SZ
2016-01-02	1	23	30	35	43	47	8
2016-01-06	3	12	27	36	42	45	0
2016-01-09	10	13	31	34	46	48	6
2016-01-13	14	18	19	25	35	46	0
2016-01-16	9	21	23	31	34	39	8
2016-01-20	7	12	14	15	19	46	3
2016-01-23	2	16	25	26	27	40	0
2016-01-27	12	14	16	19	29	47	3
2016-01-30	18	23	33	34	40	48	9
2016-02-03	10	18	19	31	33	47	8
2016-02-06	10	16	25	28	34	49	5
2016-02-10	2	17	19	32	34	38	4
2016-02-13	18	20	30	32	43	45	8
2016-02-17	24	26	32	35	38	39	3
2016-02-20	1	13	16	29	30	31	6
2016-02-24	5	13	23	31	47	48	5
2016-02-27	7	10	15	25	37	49	7
2016-03-02	1	8	10	16	17	40	9
2016-03-05	7	10	33	37	43	46	3
2016-03-09	10	13	32	37	46	48	7
2016-03-12	20	26	30	39	47	49	4
2016-03-16	9	11	26	29	35	46	6
2016-03-19	4	10	15	37	44	49	5
2016-03-23	9	10	16	22	31	44	0
2016-03-26	1	3	31	33	40	41	5
2016-03-30	1	5	9	13	26	41	1
2016-04-02	1	10	17	23	28	38	6
2016-04-06	6	19	25	30	33	42	4
2016-04-09	1	4	38	39	46	47	2
2016-04-13	2	13	17	35	36	49	7
2016-04-16	5	14	15	20	22	38	9
2016-04-20	1	5	11	13	20	49	8
2016-04-23	8	15	16	17	27	35	4
2016-04-27	1	6	9	21	26	37	6
2016-04-30	14	26	28	30	36	43	6
2016-05-04	2	11	14	35	39	49	5
2016-05-07	16	32	34	37	42	44	9
2016-05-11	10	19	20	31	39	41	5
2016-05-14	5	13	15	26	30	44	9
2016-05-18	10	13	19	26	31	41	4
2016-05-21	2	5	29	46	47	48	4
2016-05-25	6	9	10	21	30	36	6
2016-05-28	5	9	17	24	39	45	3
2016-06-01	19	25	30	35	40	46	2
2016-06-04	5	6	22	31	35	42	3
2016-06-08	2	5	30	33	44	48	6
2016-06-11	6	13	21	27	38	45	5
2016-06-15	7	12	13	33	48	49	7
2016-06-18	2	8	12	17	19	27	1
2016-06-22	8	19	35	40	41	43	8
2016-06-25	2	6	10	11	34	44	3
2016-06-29	4	5	28	32	44	49	4
2016-07-02	4	6	8	15	26	30	9
2016-07-06	4	16	18	37	38	42	0
2016-07-09	1	34	37	40	44	49	7
2016-07-13	10	14	20	27	33	41	7
2016-07-16	1	18	22	30	34	44	5
2016-07-20	1	18	20	28	40	49	5
2016-07-23	5	25	29	43	47	48	5
2016-07-27	5	6	7	17	18	39	1
2016-07-30	6	13	23	26	30	33	2
2016-08-03	15	21	26	34	42	43	6
2016-08-06	6	25	26	33	45	47	0
2016-08-10	11	12	17	23	43	49	9
2016-08-13	6	14	28	30	37	39	2
2016-08-17	2	10	30	34	41	49	1
2016-08-20	23	28	30	31	37	45	5
2016-08-24	6	14	16	35	42	48	2
2016-08-27	1	8	22	32	33	43	9
2016-08-31	3	7	31	37	40	41	3
2016-09-03	8	14	18	25	30	36	1
2016-09-07	7	11	18	19	21	27	0
2016-09-10	1	3	6	11	24	43	0
2016-09-14	2	3	15	20	31	35	8
2016-09-17	3	34	35	37	46	47	2
2016-09-21	1	8	11	18	24	29	5
2016-09-24	4	15	18	21	32	45	4
2016-09-28	11	15	38	41	44	46	2
2016-10-01	7	20	25	26	34	37	1
2016-10-05	1	5	6	17	28	41	1
2016-10-08	14	21	32	33	35	48	5
2016-10-12	22	29	35	37	39	47	2
2016-10-15	7	13	19	29	38	41	9
2016-10-19	16	32	33	40	42	43	5
2016-10-22	2	21	26	32	36	48	7
2016-10-26	11	15	18	43	44	45	6
2016-10-29	5	7	8	26	28	36	8
2016-11-02	1	12	19	26	30	48	6
2016-11-05	9	32	35	38	42	43	8
2016-11-09	6	13	20	33	39	41	5
2016-11-12	2	6	9	19	20	47	1
2016-11-16	13	19	20	38	39	44	8
2016-11-19	1	2	6	15	38	39	3
2016-11-23	4	27	28	31	38	44	7
2016-11-26	26	32	41	42	45	47	9
2016-11-30	1	10	12	19	21	47	6
2016-12-03	5	16	39	43	47	48	9
2016-12-07	13	18	36	40	42	48	8
2016-12-10	11	17	32	34	37	49	3
2016-12-14	33	34	38	42	43	44	4
2016-12-17	6	24	28	29	34	35	2
2016-12-21	3	21	23	38	39	42	7
2016-12-24	4	11	18	22	30	45	1
2016-12-28	1	3	4	22	29	30	3
2016-12-31	27	29	37	42	45	47	3
