Date	1	2	3	4	5	6	SZ
2018-01-03	10	15	31	34	35	45	8
2018-01-06	5	14	32	37	46	47	0
2018-01-10	3	22	24	25	43	45	6
2018-01-13	5	6	14	16	31	48	0
2018-01-17	3	13	25	27	32	48	2
2018-01-20	3	11	15	18	33	45	4
2018-01-24	3	5	18	31	37	45	7
2018-01-27	4	22	24	34	36	43	6
2018-01-31	3	6	8	26	29	38	8
2018-02-03	5	9	13	20	39	48	5
2018-02-07	15	20	25	28	33	41	5
2018-02-10	17	20	27	35	41	45	8
2018-02-14	6	16	20	22	23	24	6
2018-02-17	15	18	26	27	37	42	2
2018-02-21	3	6	8	29	40	47	7
2018-02-24	18	27	33	41	44	47	6
2018-02-28	6	15	32	36	43	47	6
2018-03-03	5	24	28	37	40	44	8
2018-03-07	5	24	28	30	35	42	1
2018-03-10	8	19	34	35	40	49	8
2018-03-14	13	18	30	38	45	48	7
2018-03-17	1	7	17	22	29	46	7
2018-03-21	20	26	29	38	43	48	0
2018-03-24	3	16	27	34	42	45	1
2018-03-28	1	23	25	31	38	47	7
2018-03-31	1	8	12	15	46	48	5
2018-04-04	13	23	28	30	33	46	7
2018-04-07	12	15	19	27	34	47	8
2018-04-11	9	20	25	27	44	48	5
2018-04-14	4	9	33	34	42	47	6
2018-04-18	2	4	7	10	35	37	8
2018-04-21	12	15	19	23	29	38	5
2018-04-25	4	6	10	11	17	25	6
2018-04-28	2	9	11	33	47	48	4
2018-05-02	3	5	12	19	42	44	7
2018-05-05	1	5	17	31	34	49	7
2018-05-09	3	9	25	31	37	43	5
2018-05-12	23	27	29	36	38	42	0
2018-05-16	2	12	13	19	34	46	9
2018-05-19	3	4	27	41	44	49	2
2018-05-23	7	16	29	36	45	47	6
2018-05-26	10	16	24	27	47	48	6
2018-05-30	15	23	29	35	38	48	2
2018-06-02	1	10	19	24	30	31	7
2018-06-06	3	8	13	15	18	42	6
2018-06-09	13	16	34	35	39	42	9
2018-06-13	3	4	6	10	46	48	3
2018-06-16	4	19	31	33	40	46	2
2018-06-20	6	22	31	33	36	43	5
2018-06-23	6	17	25	29	48	49	1
2018-06-27	13	17	35	37	45	46	3
2018-06-30	16	24	37	38	40	42	9
2018-07-04	1	5	10	25	32	37	8
2018-07-07	2	5	13	18	25	36	2
2018-07-11	1	3	18	28	42	44	5
2018-07-14	30	40	41	47	48	49	0
2018-07-18	5	14	19	22	33	41	1
2018-07-21	1	6	7	20	29	49	5
2018-07-25	8	9	39	40	41	43	9
2018-07-28	7	11	31	34	35	36	1
2018-08-01	2	22	25	32	45	46	2
2018-08-04	6	25	29	30	31	36	3
2018-08-08	8	11	18	26	40	49	0
2018-08-11	5	8	10	36	46	47	8
2018-08-15	6	13	18	24	29	31	9
2018-08-18	1	3	14	34	42	46	3
2018-08-22	6	7	15	16	26	32	0
2018-08-25	8	15	16	20	31	37	2
2018-08-29	3	17	21	22	24	39	9
2018-09-01	4	12	21	38	39	46	1
2018-09-05	3	9	13	15	37	46	4
2018-09-08	6	23	27	29	30	44	2
2018-09-12	7	13	24	28	31	32	6
2018-09-15	1	12	14	26	27	39	1
2018-09-19	3	5	8	19	30	47	0
2018-09-22	17	33	37	41	42	47	0
2018-09-26	10	18	25	36	38	44	3
2018-09-29	4	5	9	16	19	45	7
2018-10-03	3	9	29	30	33	39	9
2018-10-06	2	21	26	27	33	45	3
2018-10-10	1	14	18	32	37	45	0
2018-10-13	3	7	9	11	27	36	7
2018-10-17	7	9	20	24	35	36	2
2018-10-20	2	13	16	32	45	47	7
2018-10-24	5	13	24	32	37	41	7
2018-10-27	8	30	35	38	40	47	2
2018-10-31	4	6	13	16	22	40	5
2018-11-03	6	18	20	28	42	49	1
2018-11-07	4	15	31	37	41	42	4
2018-11-10	3	13	14	29	40	41	7
2018-11-14	4	9	22	27	31	41	9
2018-11-17	3	6	18	31	39	40	5
2018-11-21	18	24	29	30	42	47	7
2018-11-24	14	15	20	37	40	45	1
2018-11-28	23	26	28	31	48	49	0
2018-12-01	6	8	23	27	31	46	2
2018-12-05	13	29	36	47	48	49	5
2018-12-08	6	12	25	26	44	46	3
2018-12-12	3	7	20	33	34	48	6
2018-12-15	1	23	30	31	37	45	9
2018-12-19	4	12	19	32	34	41	4
2018-12-22	8	20	21	25	43	44	5
2018-12-26	2	16	22	30	36	43	4
2018-12-29	4	14	25	38	44	47	4
