Date	1	2	3	4	5	6	SZ
1996-01-06	3	6	14	19	22	32	4
1996-01-13	3	7	20	26	29	42	1
1996-01-20	8	9	17	25	42	43	8
1996-01-27	3	10	21	33	36	49	4
1996-02-03	5	13	20	25	38	40	4
1996-02-10	26	34	36	41	47	48	7
1996-02-17	1	4	20	30	43	47	5
1996-02-24	4	23	29	31	37	43	6
1996-03-02	3	9	20	34	35	38	0
1996-03-09	3	14	18	19	24	38	3
1996-03-16	12	15	17	25	35	36	9
1996-03-23	7	24	25	31	35	46	0
1996-03-30	2	8	12	20	35	45	4
1996-04-06	19	24	30	41	43	44	9
1996-04-13	7	9	10	11	18	23	4
1996-04-20	3	11	13	28	32	36	3
1996-04-27	2	25	27	28	38	42	3
1996-05-04	6	10	11	21	42	48	4
1996-05-11	4	6	18	39	41	49	9
1996-05-18	6	17	29	35	44	48	5
1996-05-25	6	18	21	27	28	36	6
1996-06-01	8	23	27	29	43	47	2
1996-06-08	8	12	16	20	28	41	3
1996-06-15	15	30	32	33	36	37	5
1996-06-22	11	12	17	23	34	41	0
1996-06-29	1	2	3	11	26	47	3
1996-07-06	9	11	15	18	33	46	1
1996-07-13	10	28	33	37	40	41	2
1996-07-20	13	18	33	45	47	48	3
1996-07-27	2	6	13	26	32	34	7
1996-08-03	2	23	37	39	43	45	9
1996-08-10	2	17	19	23	38	47	5
1996-08-17	3	5	17	37	47	49	5
1996-08-24	1	18	29	34	46	49	1
1996-08-31	8	29	30	34	35	39	5
1996-09-07	8	14	16	29	30	45	2
1996-09-14	3	7	14	16	43	45	1
1996-09-21	5	8	15	40	44	49	8
1996-09-28	2	7	16	24	43	48	8
1996-10-05	1	3	7	24	34	43	2
1996-10-12	4	17	23	24	35	37	2
1996-10-19	6	10	22	24	25	32	7
1996-10-26	3	20	21	24	35	42	9
1996-11-02	9	10	20	32	36	47	2
1996-11-09	4	7	16	18	28	48	2
1996-11-16	2	20	21	23	26	36	5
1996-11-23	20	23	36	38	39	44	9
1996-11-30	4	5	24	30	32	39	9
1996-12-07	2	8	10	14	27	42	3
1996-12-14	6	22	33	35	41	44	2
1996-12-21	10	11	13	32	39	49	3
1996-12-28	4	18	32	44	46	49	4
