Date	1	2	3	4	5	6	SZ
2002-01-02	13	21	25	34	35	46	1
2002-01-05	12	24	27	29	43	49	1
2002-01-09	4	24	37	39	43	47	8
2002-01-12	3	11	13	25	30	37	7
2002-01-16	19	22	25	26	28	42	3
2002-01-19	2	8	16	20	42	46	6
2002-01-23	21	31	32	34	38	46	6
2002-01-26	1	11	12	26	42	47	0
2002-01-30	7	13	29	39	42	46	6
2002-02-02	3	18	27	31	36	47	3
2002-02-06	6	18	25	33	34	45	3
2002-02-09	7	10	21	31	41	45	1
2002-02-13	1	5	6	11	17	45	4
2002-02-16	1	8	9	29	33	48	1
2002-02-20	2	11	22	25	38	40	6
2002-02-23	7	22	23	38	47	49	8
2002-02-27	4	17	25	32	37	45	5
2002-03-02	4	20	28	30	47	49	5
2002-03-06	7	11	22	25	33	44	1
2002-03-09	4	5	38	40	43	44	5
2002-03-13	30	31	32	33	37	43	7
2002-03-16	2	7	25	27	39	44	9
2002-03-20	4	9	13	35	40	44	6
2002-03-23	10	15	17	18	47	48	8
2002-03-27	1	5	8	27	36	48	6
2002-03-30	4	8	37	38	43	44	7
2002-04-03	8	13	16	20	33	37	0
2002-04-06	5	7	17	23	24	46	1
2002-04-10	9	13	16	18	38	41	7
2002-04-13	9	18	27	29	33	36	9
2002-04-17	3	4	13	34	43	47	5
2002-04-20	6	7	11	39	42	49	9
2002-04-24	4	15	42	43	46	48	9
2002-04-27	1	6	8	10	21	42	2
2002-05-01	1	8	11	22	26	42	0
2002-05-04	32	34	38	39	47	49	8
2002-05-08	4	35	36	38	43	46	9
2002-05-11	14	16	29	40	43	46	8
2002-05-15	13	23	26	27	34	46	6
2002-05-18	9	15	34	38	43	44	4
2002-05-22	4	8	21	25	33	41	7
2002-05-25	1	5	7	19	22	31	3
2002-05-29	1	5	7	14	22	42	6
2002-06-01	3	7	11	18	36	48	7
2002-06-05	16	25	28	41	44	47	4
2002-06-08	6	11	28	34	38	46	7
2002-06-12	17	23	29	36	41	43	6
2002-06-15	5	16	23	36	37	39	2
2002-06-19	13	14	30	37	41	42	1
2002-06-22	7	8	10	18	27	49	6
2002-06-26	11	21	32	41	42	46	4
2002-06-29	5	6	25	29	30	44	4
2002-07-03	7	9	12	13	14	49	5
2002-07-06	6	13	16	19	39	45	8
2002-07-10	4	17	25	40	47	48	2
2002-07-13	1	2	21	30	36	43	5
2002-07-17	14	21	26	27	28	39	4
2002-07-20	3	11	24	31	34	36	3
2002-07-24	11	12	18	19	41	42	6
2002-07-27	8	10	26	39	40	41	9
2002-07-31	4	12	16	26	34	40	0
2002-08-03	5	7	18	26	27	44	8
2002-08-07	4	9	14	38	41	45	4
2002-08-10	9	10	13	26	31	34	2
2002-08-14	1	11	18	22	26	31	3
2002-08-17	4	5	7	20	29	44	2
2002-08-21	9	15	22	26	34	41	0
2002-08-24	3	16	19	25	27	34	4
2002-08-28	13	22	34	36	37	44	7
2002-08-31	21	35	39	40	41	43	2
2002-09-04	27	29	34	38	41	44	5
2002-09-07	16	17	18	19	29	37	6
2002-09-11	12	23	24	25	28	45	1
2002-09-14	8	20	23	27	30	39	4
2002-09-18	20	24	25	37	39	49	1
2002-09-21	8	11	14	36	37	48	9
2002-09-25	3	4	7	25	36	38	5
2002-09-28	6	10	12	28	29	40	0
2002-10-02	4	18	21	27	38	46	9
2002-10-05	1	11	26	30	33	39	5
2002-10-09	7	19	31	34	37	42	3
2002-10-12	6	7	12	16	17	35	0
2002-10-16	9	11	21	25	37	40	2
2002-10-19	1	21	28	34	42	43	5
2002-10-23	1	5	13	14	31	37	7
2002-10-26	15	16	30	34	41	43	4
2002-10-30	7	25	30	31	34	49	6
2002-11-02	5	7	17	30	34	44	8
2002-11-06	21	23	29	33	43	44	4
2002-11-09	1	24	27	32	38	43	6
2002-11-13	6	8	19	26	34	47	5
2002-11-16	3	7	13	14	24	44	4
2002-11-20	22	24	26	31	40	49	5
2002-11-23	12	16	32	34	43	44	3
2002-11-27	18	21	23	32	39	44	3
2002-11-30	7	9	10	11	43	47	7
2002-12-04	3	6	9	26	30	46	1
2002-12-07	6	8	9	24	34	40	1
2002-12-11	9	11	23	32	33	39	3
2002-12-14	3	6	13	17	22	38	2
2002-12-18	24	30	36	37	44	48	4
2002-12-21	11	12	19	22	41	48	8
2002-12-25	6	14	17	25	34	49	6
2002-12-28	13	17	24	27	35	42	4
