Date	1	2	3	4	5	6	SZ
1984-01-07	6	19	22	40	41	46	-1
1984-01-14	10	15	23	27	32	33	-1
1984-01-21	3	7	16	24	28	46	-1
1984-01-28	3	7	12	22	25	31	-1
1984-02-04	10	32	36	37	39	44	-1
1984-02-11	2	14	15	33	38	49	-1
1984-02-18	3	7	19	39	41	46	-1
1984-02-25	1	6	22	30	31	36	-1
1984-03-03	21	25	28	32	44	45	-1
1984-03-10	9	13	28	32	42	47	-1
1984-03-17	6	22	24	32	45	47	-1
1984-03-24	6	15	17	23	35	44	-1
1984-03-31	8	13	14	21	31	43	-1
1984-04-07	5	11	29	32	43	48	-1
1984-04-14	1	16	20	21	32	47	-1
1984-04-21	9	24	26	30	36	37	-1
1984-04-28	5	12	18	33	37	47	-1
1984-05-05	1	2	6	7	35	40	-1
1984-05-12	4	23	24	26	31	47	-1
1984-05-19	11	13	17	29	32	38	-1
1984-05-26	1	21	27	34	35	41	-1
1984-06-02	8	10	23	32	36	43	-1
1984-06-09	1	5	7	14	41	45	-1
1984-06-16	22	27	36	37	39	47	-1
1984-06-23	2	6	22	25	35	36	-1
1984-06-30	4	6	10	22	30	43	-1
1984-07-07	10	18	26	35	46	48	-1
1984-07-14	3	10	20	33	40	47	-1
1984-07-21	4	10	14	16	35	46	-1
1984-07-28	5	8	16	18	21	47	-1
1984-08-04	12	29	31	37	39	45	-1
1984-08-11	11	15	19	22	38	49	-1
1984-08-18	1	4	6	17	25	41	-1
1984-08-25	3	5	11	13	33	42	-1
1984-09-01	5	11	22	40	47	48	-1
1984-09-08	2	4	28	38	40	43	-1
1984-09-15	5	7	21	31	42	48	-1
1984-09-22	5	12	14	38	44	48	-1
1984-09-29	5	9	12	23	32	46	-1
1984-10-06	12	15	29	34	36	47	-1
1984-10-13	1	14	20	22	40	45	-1
1984-10-20	7	9	16	38	44	49	-1
1984-10-27	19	32	33	34	40	49	-1
1984-11-03	4	10	13	30	33	42	-1
1984-11-10	11	12	19	21	36	49	-1
1984-11-17	7	9	10	19	43	45	-1
1984-11-24	10	13	17	21	46	48	-1
1984-12-01	17	23	33	37	40	42	-1
1984-12-08	3	6	36	37	38	49	-1
1984-12-15	2	26	29	36	39	49	-1
1984-12-22	15	17	18	24	31	44	-1
1984-12-29	7	13	17	20	23	43	-1
