Date	1	2	3	4	5	6	SZ
1991-01-05	5	8	17	23	40	47	-1
1991-01-12	2	15	22	37	39	41	-1
1991-01-19	2	5	6	8	10	16	-1
1991-01-26	9	19	26	34	43	47	-1
1991-02-02	5	15	33	43	48	49	-1
1991-02-09	4	8	31	34	38	49	-1
1991-02-16	5	11	37	38	42	44	-1
1991-02-23	5	6	15	19	30	33	-1
1991-03-02	2	4	6	33	36	40	-1
1991-03-09	13	16	21	22	27	43	-1
1991-03-16	3	5	20	24	36	49	-1
1991-03-23	18	24	31	37	43	49	-1
1991-03-30	4	5	20	42	47	49	-1
1991-04-06	11	20	26	27	38	49	-1
1991-04-13	10	23	26	31	33	47	-1
1991-04-20	10	12	17	37	38	49	-1
1991-04-27	14	24	34	35	43	46	-1
1991-05-04	19	21	30	35	36	43	-1
1991-05-11	7	10	22	28	31	44	-1
1991-05-18	4	16	21	22	36	46	-1
1991-05-25	1	20	38	40	41	42	-1
1991-06-01	7	9	11	13	32	40	-1
1991-06-08	4	16	22	28	30	36	-1
1991-06-15	1	25	26	28	34	48	-1
1991-06-22	3	21	32	39	42	48	-1
1991-06-29	4	5	24	27	42	47	-1
1991-07-06	3	5	10	13	38	41	-1
1991-07-13	1	15	19	31	32	43	-1
1991-07-20	1	4	22	26	33	47	-1
1991-07-27	5	12	37	39	41	46	-1
1991-08-03	2	27	31	38	40	48	-1
1991-08-10	7	10	22	23	25	41	-1
1991-08-17	7	8	10	29	39	47	-1
1991-08-24	7	26	31	32	36	41	-1
1991-08-31	7	9	28	32	38	40	-1
1991-09-07	32	34	44	45	48	49	-1
1991-09-14	24	32	33	35	37	40	-1
1991-09-21	9	17	18	19	40	46	-1
1991-09-28	3	12	18	23	35	43	-1
1991-10-05	12	16	17	23	31	36	-1
1991-10-12	8	9	13	14	21	41	-1
1991-10-19	4	24	33	34	38	39	-1
1991-10-26	2	4	8	17	25	41	-1
1991-11-02	4	18	23	24	32	45	-1
1991-11-09	2	9	14	18	21	26	-1
1991-11-16	2	8	29	31	32	43	-1
1991-11-23	3	9	11	26	36	40	-1
1991-11-30	6	12	15	16	28	48	-1
1991-12-07	6	16	17	41	42	49	7
1991-12-14	1	37	39	43	44	47	4
1991-12-21	8	12	30	32	45	49	9
1991-12-28	17	35	36	43	45	46	1
