Date	1	2	3	4	5	6	SZ
1972-01-01	9	12	19	21	26	47	-1
1972-01-08	3	6	14	29	34	42	-1
1972-01-15	6	21	22	35	38	48	-1
1972-01-22	2	21	31	34	35	41	-1
1972-01-29	1	11	39	46	48	49	-1
1972-02-05	2	9	22	25	33	44	-1
1972-02-12	14	21	28	30	31	38	-1
1972-02-19	4	11	19	38	41	48	-1
1972-02-26	2	9	21	23	40	41	-1
1972-03-04	20	23	27	33	36	41	-1
1972-03-11	1	14	19	21	23	36	-1
1972-03-18	1	9	15	23	24	41	-1
1972-03-25	17	22	26	32	34	43	-1
1972-04-01	14	19	23	26	29	33	-1
1972-04-08	4	8	14	24	37	39	-1
1972-04-15	14	17	18	25	42	47	-1
1972-04-22	6	26	27	32	41	49	-1
1972-04-29	8	13	25	28	34	39	-1
1972-05-06	2	15	17	21	43	45	-1
1972-05-13	15	18	19	20	42	49	-1
1972-05-20	17	23	31	32	33	40	-1
1972-05-27	7	10	11	17	37	48	-1
1972-06-03	5	9	16	18	27	29	-1
1972-06-10	3	7	19	20	29	47	-1
1972-06-17	2	14	27	30	34	36	-1
1972-06-24	16	28	29	33	37	42	-1
1972-07-01	1	3	4	19	24	27	-1
1972-07-08	1	3	6	7	18	28	-1
1972-07-15	13	15	27	35	40	46	-1
1972-07-22	12	21	28	33	41	42	-1
1972-07-29	2	3	12	19	38	40	-1
1972-08-05	15	26	29	39	47	49	-1
1972-08-12	5	20	23	30	41	48	-1
1972-08-19	7	10	16	23	25	29	-1
1972-08-26	6	23	41	42	46	47	-1
1972-09-02	8	27	30	40	46	49	-1
1972-09-09	20	23	37	38	45	46	-1
1972-09-16	17	25	34	39	42	43	-1
1972-09-23	1	4	5	11	24	40	-1
1972-09-30	9	13	24	25	31	44	-1
1972-10-07	14	19	28	39	43	49	-1
1972-10-14	3	4	16	17	30	38	-1
1972-10-21	5	18	19	28	45	46	-1
1972-10-28	16	18	23	29	38	47	-1
1972-11-04	9	17	21	22	32	33	-1
1972-11-11	3	6	11	27	36	42	-1
1972-11-18	10	27	35	43	45	46	-1
1972-11-25	2	21	29	39	42	47	-1
1972-12-02	2	11	12	14	25	40	-1
1972-12-09	7	15	18	28	31	42	-1
1972-12-16	23	31	36	38	40	49	-1
1972-12-23	10	23	25	26	29	49	-1
1972-12-30	8	12	19	26	30	49	-1
