Date	1	2	3	4	5	6	SZ
2020-01-01	7	13	17	37	42	44	8
2020-01-04	1	7	13	18	27	30	1
2020-01-08	2	3	11	25	27	35	2
2020-01-11	10	19	28	37	42	48	9
2020-01-15	2	8	24	31	43	46	4
2020-01-18	12	14	22	32	41	43	3
2020-01-22	3	16	23	33	41	47	6
2020-01-25	9	12	28	30	34	43	3
2020-01-29	17	22	24	39	48	49	0
2020-02-01	7	8	12	32	42	47	6
2020-02-05	13	16	31	37	39	49	7
2020-02-08	1	10	30	36	38	42	3
2020-02-12	2	10	24	31	41	49	3
2020-02-15	2	5	11	20	22	40	5
2020-02-19	3	7	11	22	27	42	7
2020-02-22	6	11	21	24	31	32	0
2020-02-26	2	5	18	33	45	47	7
2020-02-29	3	8	9	10	29	42	0
2020-03-04	14	19	22	29	46	47	5
2020-03-07	9	11	16	26	36	44	0
2020-03-11	7	23	24	41	47	49	5
2020-03-14	2	11	19	30	38	49	2
2020-03-18	13	19	22	28	31	34	5
2020-03-21	1	4	22	26	34	36	4
2020-03-25	6	11	18	21	35	49	9
2020-03-28	2	4	28	36	39	46	7
2020-04-01	4	15	22	39	46	48	6
2020-04-04	9	12	17	24	41	43	1
2020-04-08	5	18	22	25	31	44	4
2020-04-11	13	18	26	29	42	47	4
2020-04-15	11	22	24	27	30	46	0
2020-04-18	11	15	28	35	39	42	3
2020-04-22	9	13	29	34	39	49	7
2020-04-25	4	11	17	19	25	30	4
2020-04-29	1	5	7	32	36	41	9
2020-05-02	4	10	11	16	27	49	2
2020-05-06	5	19	31	34	43	47	5
2020-05-09	2	9	17	22	23	36	7
2020-05-13	12	17	20	21	43	46	4
2020-05-16	3	6	8	11	47	48	4
2020-05-20	9	31	33	42	45	49	1
2020-05-23	1	4	11	17	27	35	8
2020-05-27	4	25	36	39	43	47	3
2020-05-30	5	18	33	35	42	43	0
2020-06-03	20	25	31	33	38	43	0
2020-06-06	16	18	21	25	40	49	1
2020-06-10	2	11	17	20	36	42	1
2020-06-13	14	20	36	38	41	43	5
2020-06-17	6	13	29	35	38	48	3
2020-06-20	1	2	7	11	14	40	3
2020-06-24	5	11	18	34	38	41	3
2020-06-27	14	21	24	27	42	49	4
2020-07-01	2	32	36	38	39	44	1
2020-07-04	6	17	19	33	36	49	0
2020-07-08	9	15	23	28	41	44	7
2020-07-11	8	16	29	32	38	46	7
2020-07-15	13	14	20	25	35	47	6
2020-07-18	8	11	25	28	34	49	7
2020-07-22	6	11	17	24	25	44	1	
2020-07-25	2	4	10	18	27	37	0
2020-08-01	1	20	24	33	38	39	0
2020-08-05	6	8	10	24	33	42	4
2020-08-08	8	14	18	25	28	48	7
2020-08-14	4	20	21	34	35	45	4	
2020-08-19	5	18	22	27	38	48	1
2020-08-22	1	2	8	10	29	37	5
2020-08-26	3	15	18	26	39	40	3
2020-08-29	1	12	19	20	36	48	5
2020-09-02 	6	10	23	39	45	49	3
2020-09-05	1	3	7	13	19	44	5
2020-09-09	9	22	24	35	46	49	0
2020-09-12	11	26	28	40	41	45	7
2020-09-16	8	31	41	43	44	48	8
2020-09-19	1	8	23	29	35	38	2
2020-09-23	6	19	25	26	32	33	0
2020-09-26	6	8	12	22	27	47	7
2020-09-30	5	7	20	21	33	43	4
2020-10-03	10	13	20	25	33	48	8
2020-10-07	5	8	15	37	38	44	0
2020-10-10	4	8	16	22	28	33	6
2020-10-14	6	14	20	25	26	27	2
2020-10-17	2	5	9	16	41	48	8
2020-10-21	16	20	23	34	40	47	6
2020-10-24	1	6	20	22	24	40	6
2020-10-28	2	7	12	23	36	43	4
2020-10-31	1	8	11	21	26	28	8
2020-11-04	2	7	17	32	43	45	9
2020-11-07	24	32	33	36	40	45	4
2020-11-11	10	11	19	33	37	38	9
2020-11-14	1	10	16	18	20	37	4
2020-11-18	8	19	29	35	41	49	7
2020-11-21	1	13	14	21	25	39	0
2020-11-25	10	11	16	17	18	30	4
2020-11-28	2	13	27	28	35	47	8
2020-12-02	1	2	32	41	43	44	1
2020-12-05	12	15	25	33	41	48	5
2020-12-09	3	5	11	13	15	40	2
2020-12-12	1	2	3	21	39	45	7
2020-12-19	3	6	22	31	47	48	0
2020-12-26	2	5	7	12	13	32	3
