Date	1	2	3	4	5	6	SZ
2023-01-04	19	29	31	34	37	47	0
2023-01-07	10	11	18	20	26	40	2
2023-01-11	17	21	24	25	32	48	5
2023-01-14	6	12	24	38	42	43	3
2023-01-18	1	8	21	25	37	46	9
2023-01-21	4	19	24	43	44	45	7
2023-01-25	6	11	12	20	25	37	2
2023-01-28	5	14	20	30	38	44	8
2023-02-01	6	20	34	36	40	49	5
2023-02-04	29	31	33	34	35	37	8
2023-02-08	8	14	17	21	39	44	9
2023-02-11	9	11	12	19	28	30	3
2023-02-15	19	22	26	33	37	45	6
2023-02-18	7	28	36	40	43	49	8
2023-02-22	4	6	9	27	44	46	8
2023-02-25	5	12	23	26	33	48	4
2023-03-01	8	14	21	23	28	47	9
2023-03-04	1	7	8	21	45	48	0
2023-03-08	5	23	25	26	32	43	2
2023-03-11	17	20	22	23	27	32	7
2023-03-15	3	17	19	34	39	44	8
2023-03-18	3	5	9	23	27	44	9
2023-03-22	19	28	33	35	38	40	3
2023-03-25	10	15	16	21	35	36	5
2023-03-29	2	19	37	40	43	48	5
2023-04-01	27	28	33	36	42	45	9
2023-04-05	4	6	15	29	41	47	5
2023-04-08	2	16	26	34	40	49	3
2023-04-12	7	20	28	33	34	44	8
2023-04-15	7	12	22	33	34	43	1
2023-04-19	3	14	16	18	31	36	6
2023-04-22	13	21	26	34	41	48	7
2023-04-26	1	3	18	25	41	49	7
2023-04-29	9	13	14	23	24	40	0
2023-05-03	14	15	16	37	42	47	1
2023-05-06	7	9	18	19	31	47	9
2023-05-10	10	14	23	25	44	49	8
2023-05-13	1	4	12	26	28	39	1
2023-05-17	2	26	29	31	36	45	6
2023-05-20	5	6	24	33	34	42	3
2023-05-24	1	6	7	9	16	43	5
2023-05-27	3	7	12	18	28	34	4
2023-05-31	22	30	35	39	41	45	6
2023-06-03	1	4	6	18	23	30	0
2023-06-07	17	19	30	33	40	49	6
2023-06-10	12	16	24	28	30	37	0
2023-06-14	12	15	17	21	29	44	5
2023-06-17	2	15	19	22	32	43	4
2023-06-21	6	12	19	22	43	47	6
2023-06-24	4	24	26	31	42	43	4
2023-06-28	5	18	28	30	34	37	1
2023-07-01	13	18	24	27	38	43	3
2023-07-05	2	16	20	23	34	44	3
2023-07-08	3	14	25	29	37	44	0
2023-07-12	2	7	9	19	21	30	2
2023-07-15	6	8	11	17	30	39	1
2023-07-19	4	19	25	32	33	34	4
2023-07-22	2	15	31	37	40	41	3
2023-07-26	7	21	23	32	35	45	3
2023-07-29	3	10	19	33	41	45	6
2023-08-02	7	21	23	29	30	44	4
2023-08-05	4	22	23	35	42	49	4
2023-08-09	16	24	29	33	35	37	7
2023-08-12	19	20	24	33	40	43	3
2023-08-16	4	5	14	19	26	41	8
2023-08-19	10	17	22	31	36	37	6
2023-08-23	9	10	13	26	28	45	6
2023-08-26	7	12	36	37	39	42	2
2023-08-30	23	32	42	43	46	48	1
2023-09-02	22	25	27	28	34	47	0
2023-09-06	3	6	8	13	20	47	2
2023-09-09	2	22	25	28	42	48	5
2023-09-13	14	15	18	27	28	41	3
2023-09-16	19	30	32	36	41	46	2
2023-09-20	3	18	21	24	33	42	2
2023-09-23	11	12	17	32	33	39	3
2023-09-27	2	9	19	22	40	41	8
2023-09-30	1	17	20	36	42	45	0
2023-10-04	18	19	28	38	43	46	9
2023-10-07	11	14	22	23	32	42	0
2023-10-11	3	16	25	30	31	42	3
2023-10-14	8	10	22	29	31	35	7
2023-10-18	15	16	31	42	45	47	2
2023-10-21	3	9	10	14	33	37	9
2023-10-25	1	4	10	25	31	49	7
2023-10-28	1	5	7	26	32	38	3
2023-11-01	8	20	26	33	43	49	5
2023-11-04	1	6	16	20	23	27	4
2023-11-08	1	12	18	34	39	48	8
2023-11-11	9	25	26	40	45	49	7
2023-11-15	8	13	14	22	25	29	1
2023-11-18	10	18	23	27	28	38	4
2023-11-22	3	4	20	25	30	41	9
2023-11-25	3	27	32	35	38	47	5
2023-11-29	3	22	25	29	45	49	7
2023-12-02	10	24	29	35	36	47	4
2023-12-06	2	15	27	42	43	45	1
2023-12-09	16	21	30	38	42	48	9
2023-12-13	10	11	22	27	31	39	1
2023-12-16	2	7	12	22	31	48	3
2023-12-20	4	17	18	25	31	44	9
2023-12-23	1	4	8	12	17	22	2
2023-12-27	6	9	17	33	41	44	9
2023-12-30	4	26	41	44	47	48	7
